n_nodes,influence,communities,time,nodes
1.0,1.56,1,1,[877]
25.0,37.89,5,3,"[181, 1055, 19, 952, 918, 1059, 103, 1266, 884, 874, 215, 899, 1056, 922, 1030, 1015, 828, 925, 1012, 959, 86, 944, 912, 832, 1004]"
22.0,33.18,5,3,"[181, 1055, 918, 19, 952, 1059, 1266, 874, 215, 103, 884, 899, 1056, 922, 1030, 862, 869, 413, 120, 913, 575, 185]"
12.0,18.78,6,2,"[877, 1059, 55, 989, 826, 914, 1072, 1130, 19, 948, 952, 872]"
18.0,28.17,7,3,"[1063, 1416, 1059, 701, 926, 792, 952, 945, 912, 19, 966, 1055, 329, 276, 975, 862, 1106, 1370]"
21.0,32.99,5,3,"[850, 879, 1033, 1059, 701, 926, 1013, 945, 952, 1222, 19, 975, 276, 862, 1114, 1055, 966, 1029, 329, 1106, 400]"
5.0,9.22,4,2,"[952, 873, 32, 19, 1352]"
17.0,27.37,6,3,"[1063, 1416, 701, 1059, 792, 926, 850, 952, 1027, 863, 329, 966, 975, 19, 846, 862, 1055]"
12.0,18.62,7,2,"[955, 1257, 755, 557, 1054, 862, 1072, 1130, 19, 948, 952, 872]"
2.0,3.98,2,1,"[1253, 952]"
22.0,32.19,7,3,"[955, 793, 841, 1435, 1171, 822, 954, 557, 952, 927, 19, 1022, 908, 1055, 1320, 270, 502, 1309, 949, 852, 875, 935]"
11.0,17.17,6,2,"[955, 1257, 755, 557, 1054, 887, 1072, 1142, 19, 975, 952]"
25.0,37.16,7,3,"[1063, 1416, 1059, 701, 792, 1266, 884, 952, 874, 215, 1075, 1056, 922, 1030, 19, 1015, 828, 925, 1012, 959, 86, 944, 912, 832, 1004]"
15.0,23.73,6,2,"[955, 933, 841, 1435, 983, 767, 954, 952, 557, 927, 19, 1022, 908, 1055, 897]"
13.0,21.06,6,3,"[955, 793, 841, 1033, 1215, 1013, 945, 975, 952, 19, 276, 862, 1055]"
20.0,28.23,8,2,"[955, 1257, 755, 557, 1054, 887, 1072, 1142, 19, 1405, 913, 952, 334, 888, 547, 977, 862, 288, 1060, 1037]"
19.0,29.52,6,3,"[955, 933, 841, 1435, 983, 822, 954, 952, 557, 927, 19, 1022, 908, 1055, 1032, 456, 502, 1309, 103]"
12.0,19.73,5,2,"[850, 879, 1033, 1059, 701, 926, 1013, 249, 952, 1222, 19, 975]"
11.0,18.25,5,2,"[955, 933, 841, 1307, 983, 822, 954, 952, 557, 927, 19]"
10.0,14.46,8,2,"[153, 1416, 780, 1061, 826, 914, 952, 1072, 1055, 1320]"
8.0,12.71,6,2,"[872, 1416, 780, 1061, 826, 557, 952, 922]"
8.0,11.43,7,2,"[1164, 1416, 780, 541, 826, 914, 952, 922]"
8.0,13.97,5,2,"[181, 1055, 19, 952, 918, 832, 103, 1266]"
