n_nodes,influence,communities,time,nodes
12.0,291.0,6,15,"[3730, 2622, 483, 1324, 1136, 4609, 4271, 2356, 564, 4984, 4156, 2678]"
53.0,467.06,6,11,"[5071, 2622, 483, 794, 110, 4271, 4609, 1778, 3063, 4762, 1167, 4925, 2824, 93, 5402, 5037, 2634, 3514, 4720, 4937, 3159, 1079, 5029, 2300, 3526, 5229, 4751, 410, 4911, 3428, 5022, 4984, 3516, 4173, 5220, 210, 4850, 4874, 868, 4237, 2436, 3046, 3219, 2193, 2660, 2985, 1994, 3192, 2424, 1915, 1805, 1423, 5598]"
12.0,292.76,5,15,"[5071, 2622, 794, 483, 110, 1778, 4271, 3063, 4156, 4609, 2678, 3378]"
20.0,337.5,7,14,"[3730, 3650, 1324, 483, 4271, 4751, 410, 4911, 5022, 2678, 3516, 4984, 1538, 4173, 210, 4850, 3238, 2393, 3204, 1994]"
53.0,466.38,8,11,"[3730, 2622, 1324, 4984, 1136, 5578, 2356, 483, 564, 4767, 2678, 4271, 2656, 5435, 4882, 4696, 3631, 4609, 3071, 21, 306, 813, 5022, 775, 2986, 2651, 2032, 498, 4311, 410, 4911, 3428, 3516, 4173, 5220, 210, 3219, 4850, 4874, 868, 4237, 2436, 3046, 2193, 3543, 2985, 1994, 3192, 2424, 1915, 1805, 1423, 5598]"
7.0,218.08,6,15,"[3555, 756, 3063, 1578, 5336, 4984, 4156]"
21.0,353.67,5,14,"[5071, 3154, 1136, 794, 483, 558, 1778, 4762, 359, 3063, 2545, 4271, 5682, 21, 1938, 4766, 4767, 2656, 1417, 4609, 5022]"
45.0,442.36,7,12,"[4765, 3881, 2622, 1136, 3544, 306, 4075, 4751, 483, 410, 2678, 4271, 4911, 28, 564, 3516, 2656, 4048, 4850, 4518, 4819, 4609, 2436, 1417, 794, 4874, 1805, 1423, 2193, 868, 3219, 21, 5022, 2985, 1465, 3046, 3192, 1994, 2660, 5220, 4718, 2424, 1138, 1915, 5500]"
29.0,389.07,6,12,"[5071, 794, 2622, 4271, 483, 1136, 4609, 2356, 4762, 2545, 3877, 5104, 3383, 2623, 4767, 2656, 4347, 1538, 1417, 2680, 4778, 5598, 2467, 422, 4602, 606, 4278, 1423, 5500]"
10.0,268.99,6,15,"[3730, 3154, 794, 1778, 4854, 3063, 4271, 366, 2545, 483]"
