n_nodes,influence,time,nodes
2.0,2120.62,6,"[832, 2189]"
5.0,2252.7,7,"[1500, 2824, 907, 141, 1300]"
11.0,2376.66,6,"[1921, 1160, 848, 773, 307, 1459, 565, 2971, 2460, 923, 1952]"
64.0,2538.06,7,"[128, 2562, 1156, 2180, 146, 2587, 159, 672, 1444, 1189, 1449, 2985, 2221, 2477, 2223, 1590, 950, 1720, 187, 960, 1984, 2939, 2881, 66, 2885, 1223, 328, 1096, 1097, 3023, 593, 853, 1111, 730, 355, 1253, 1125, 869, 1003, 1645, 247, 1794, 1404, 1661, 2303, 2911, 225, 2402, 2018, 98, 2917, 2154, 1387, 2800, 506, 1650, 1396, 2549, 2935, 504, 1017, 1914, 1915, 1399]"
42.0,2524.9,7,"[420, 647, 1127, 137, 2290, 561, 2259, 792, 2809, 731, 1340, 2339, 2982, 157, 2080, 1313, 1826, 1973, 2870, 821, 1318, 2472, 2984, 813, 1839, 1204, 566, 2869, 185, 2305, 2106, 2236, 1467, 59, 2811, 1088, 1600, 3011, 2881, 581, 2629, 2947]"
11.0,2362.7,7,"[2433, 1282, 253, 2180, 695, 146, 920, 2586, 2460, 731, 1340]"
8.0,2279.68,7,"[1851, 772, 1400, 1555, 1781, 2339, 376, 669]"
51.0,2525.08,7,"[128, 2691, 1289, 260, 1800, 1615, 1932, 525, 308, 143, 2959, 1403, 663, 157, 2080, 1313, 626, 821, 1318, 2472, 2984, 813, 1839, 1204, 1973, 566, 2870, 2869, 185, 1338, 2106, 2236, 1467, 59, 2811, 1088, 1600, 58, 3011, 581, 2629, 1225, 2254, 108, 1776, 2290, 1781, 2424, 1530, 1022, 1914]"
35.0,2521.06,7,"[2433, 1282, 253, 2180, 695, 206, 920, 27, 811, 2988, 1586, 2632, 3023, 2524, 234, 1127, 1516, 224, 2913, 2915, 1647, 113, 2546, 2686, 2426, 229, 537, 1138, 2035, 1645, 247, 635, 1404, 1661, 2303]"
18.0,2480.1,7,"[642, 1284, 1400, 1555, 143, 2971, 2959, 27, 811, 2148, 1573, 883, 2209, 1647, 113, 2546, 2426, 2686]"
12.0,2390.14,7,"[2817, 2435, 1858, 916, 1430, 1984, 159, 672, 1825, 811, 2988, 1339]"
24.0,2515.32,7,"[1283, 1282, 253, 2180, 695, 1511, 920, 27, 2971, 634, 95, 438, 2632, 113, 1858, 2534, 2546, 2426, 2686, 224, 2913, 2915, 229, 3023]"
22.0,2508.62,7,"[1283, 1284, 1400, 143, 1555, 2959, 1727, 1600, 2971, 1433, 811, 186, 1407, 2988, 1598, 224, 2632, 229, 1586, 2915, 1647, 113]"
14.0,2445.7,7,"[2818, 108, 1400, 1502, 1696, 1555, 27, 1411, 2911, 2959, 731, 1708, 2124, 2426]"
23.0,2510.48,7,"[1283, 1650, 1400, 143, 1555, 2959, 1727, 1600, 2971, 1573, 1433, 95, 438, 663, 798, 468, 1313, 224, 2913, 2686, 229, 2915, 113]"
