n_nodes,influence,communities,time,nodes
10.0,469.56,4,11,"[230, 835, 974, 249, 677, 282, 206, 828, 545, 361]"
18.0,467.2,6,10,"[736, 320, 962, 130, 291, 325, 423, 391, 77, 528, 177, 850, 179, 404, 475, 507, 734, 191]"
9.0,392.92,6,14,"[704, 546, 135, 873, 123, 121, 251, 61, 511]"
11.0,396.56,7,12,"[289, 995, 446, 933, 358, 648, 45, 654, 851, 23, 94]"
5.0,446.12,3,12,"[387, 653, 401, 316, 854]"
7.0,441.56,5,13,"[834, 962, 846, 658, 285, 222, 95]"
5.0,439.88,4,14,"[424, 299, 684, 316, 106]"
12.0,465.4,6,11,"[434, 34, 804, 742, 264, 265, 683, 624, 529, 784, 986, 93]"
13.0,479.16,4,10,"[230, 835, 974, 709, 602, 434, 701, 895, 172, 552, 609, 171, 722]"
12.0,476.52,5,12,"[970, 986, 231, 871, 398, 563, 720, 371, 950, 793, 440, 89]"
8.0,453.16,4,14,"[960, 213, 224, 142, 163, 794, 382, 305]"
24.0,487.56,7,11,"[819, 305, 833, 4, 8, 648, 23, 31, 800, 34, 42, 987, 561, 314, 704, 323, 840, 459, 350, 735, 870, 999, 113, 763]"
6.0,449.08,4,11,"[960, 573, 481, 296, 609, 608]"
25.0,498.0,6,10,"[909, 515, 857, 395, 908, 653, 441, 913, 21, 616, 551, 809, 812, 303, 916, 956, 66, 709, 850, 82, 919, 788, 891, 381, 127]"
1.0,362.4,2,14,[709]
12.0,428.64,7,11,"[289, 995, 446, 238, 358, 648, 45, 371, 950, 793, 440, 89]"
11.0,437.48,6,14,"[677, 261, 231, 871, 398, 846, 720, 977, 851, 23, 94]"
6.0,439.36,5,12,"[960, 34, 481, 296, 609, 632]"
2.0,418.6,3,13,"[323, 767]"
11.0,469.48,5,11,"[294, 231, 871, 398, 563, 720, 371, 950, 793, 440, 89]"
6.0,463.28,3,11,"[759, 617, 481, 609, 296, 608]"
18.0,487.36,5,11,"[257, 515, 4, 395, 908, 653, 529, 917, 21, 287, 551, 809, 812, 303, 306, 956, 66, 709]"
9.0,467.56,5,12,"[761, 199, 850, 82, 606, 493, 617, 381, 127]"
