n_nodes,influence,communities,time,nodes
3.0,186.0,5,4,"[5395, 5543, 4836]"
3.0,191.0,2,25,"[1618, 5292, 3576]"
1.0,11.0,1,3,[2254]
2.0,45.0,1,12,"[2513, 4862]"
2.0,25.0,8,2,"[2391, 1070]"
20.0,1053.0,11,13,"[3817, 1888, 1992, 2432, 5012, 4974, 561, 4862, 1307, 405, 2129, 2841, 4890, 5169, 191, 4021, 3270, 2008, 4765, 5078]"
20.0,1210.0,10,16,"[3040, 5534, 293, 2143, 1838, 4053, 2205, 1567, 3311, 2540, 4270, 4890, 5169, 2129, 1134, 4021, 3270, 2008, 4765, 5078]"
4.0,1057.0,10,2,"[28, 222, 2977, 3722]"
4.0,1091.0,8,28,"[4837, 5366, 3722, 2977]"
4.0,1002.0,11,7,"[28, 829, 613, 2977]"
4.0,1002.0,11,4,"[28, 829, 5130, 2977]"
