n_nodes,influence,communities,time,nodes
28.0,157.95,6,11,"[2334, 2140, 2112, 1361, 2526, 2038, 991, 1226, 2543, 2835, 1613, 2173, 229, 1275, 370, 1019, 1150, 963, 1022, 2198, 1541, 2193, 1042, 1300, 675, 555, 2130, 1107]"
25.0,156.33,4,11,"[1822, 2397, 2101, 212, 1082, 794, 1971, 717, 160, 2024, 2191, 1079, 1042, 963, 1022, 2198, 2334, 1300, 2357, 2130, 1107, 675, 1541, 2038, 1275]"
9.0,74.96,5,10,"[2482, 1233, 269, 2835, 663, 2038, 1613, 2543, 2198]"
22.0,155.67,3,11,"[1914, 2105, 2102, 1676, 2038, 1613, 1082, 2543, 1401, 963, 1275, 2112, 1541, 2193, 1300, 2337, 1042, 2173, 675, 555, 1107, 2130]"
46.0,220.15,4,10,"[2334, 2148, 1361, 2835, 1226, 2038, 1613, 2543, 2198, 963, 2112, 2173, 1275, 1541, 675, 2193, 1300, 1042, 1022, 555, 2130, 1107, 2037, 2530, 1370, 1883, 1119, 2167, 1681, 2221, 1944, 861, 1914, 1945, 1829, 1748, 2375, 1545, 2417, 493, 2519, 658, 1090, 1295, 1038, 2388]"
7.0,40.04,6,9,"[1836, 2397, 269, 837, 3004, 14, 2242]"
31.0,182.16,5,11,"[1914, 2105, 2230, 1676, 2038, 1082, 2595, 1613, 2198, 2543, 1275, 2088, 1745, 2112, 2136, 3014, 1022, 2173, 963, 1300, 2079, 2193, 2961, 1142, 1042, 675, 1541, 2275, 555, 1522, 1628]"
36.0,178.4,7,11,"[1060, 70, 2378, 2286, 2992, 341, 1863, 963, 2502, 2112, 1275, 2775, 1541, 2483, 1233, 1300, 1160, 1699, 1042, 675, 2519, 2038, 2461, 1084, 488, 1545, 1090, 2388, 2034, 1104, 658, 1772, 1310, 1045, 1295, 2186]"
57.0,249.67,5,10,"[1914, 2105, 2102, 1676, 2038, 1613, 1082, 2543, 1401, 2193, 1275, 2337, 2173, 963, 675, 555, 1541, 1300, 2112, 1107, 1042, 1946, 1103, 2191, 540, 1233, 2446, 546, 2136, 1745, 775, 1633, 2186, 1896, 2088, 2595, 1037, 528, 2076, 1781, 2106, 1772, 1944, 2553, 2616, 2275, 1522, 2547, 1285, 2101, 1245, 1844, 1788, 2079, 296, 2018, 1627]"
73.0,267.68,7,11,"[1673, 1977, 2148, 263, 1884, 540, 2696, 3002, 1415, 498, 1541, 1300, 555, 1042, 2193, 1022, 675, 1844, 2101, 2034, 717, 1060, 2076, 1772, 58, 992, 1463, 711, 2053, 1576, 513, 1574, 2037, 458, 1689, 2530, 1310, 1883, 1935, 1744, 1668, 1119, 1610, 2167, 1681, 2242, 538, 1378, 2221, 1986, 975, 1944, 1924, 861, 1914, 1945, 2825, 433, 2106, 1829, 1748, 1304, 2091, 2375, 1545, 2417, 493, 2519, 658, 1090, 1295, 1038, 2388]"
52.0,237.37,6,10,"[1914, 2230, 2105, 2595, 2198, 1676, 1082, 2038, 2088, 1745, 2136, 1275, 1613, 3014, 2543, 540, 1233, 2446, 2173, 1480, 2024, 2369, 2112, 2186, 160, 1300, 2534, 2029, 2193, 963, 2147, 1042, 1928, 493, 10, 2268, 2569, 2106, 1541, 675, 555, 1378, 1796, 2113, 1073, 1591, 2201, 2091, 2602, 1923, 2037, 538]"
23.0,136.14,7,11,"[3011, 1233, 269, 2835, 2173, 1492, 2038, 2198, 1022, 1361, 1541, 1300, 1613, 58, 2543, 1042, 1487, 1226, 2047, 441, 2076, 2193, 1142]"
16.0,100.01,7,11,"[1719, 2313, 2567, 2835, 2038, 2173, 1492, 2751, 170, 2417, 1226, 2543, 1195, 977, 311, 3022]"
65.0,257.39,7,10,"[1060, 70, 2378, 99, 2992, 1613, 2543, 963, 2198, 2173, 1275, 2112, 2193, 1541, 1370, 2037, 1022, 1300, 1378, 2530, 2595, 1042, 2167, 2038, 2088, 2333, 675, 1119, 1796, 1107, 1914, 1591, 2130, 1681, 2201, 2113, 404, 861, 1944, 1633, 2008, 1945, 2417, 1829, 493, 1748, 1923, 2375, 2311, 1699, 2519, 2461, 1084, 488, 1545, 1090, 2388, 2034, 1104, 658, 1772, 1310, 1045, 1295, 2186]"
20.0,123.76,7,11,"[1914, 2378, 2286, 2992, 341, 1863, 1082, 1275, 1022, 963, 2112, 2775, 2502, 172, 675, 1541, 1042, 1300, 1233, 2038]"
36.0,187.11,6,11,"[2482, 1233, 269, 2835, 2173, 2038, 1361, 1492, 1613, 2198, 1226, 1022, 58, 2543, 1487, 1300, 2448, 441, 1541, 1042, 2076, 2193, 1142, 1545, 1090, 2388, 2034, 1104, 658, 1772, 1310, 1045, 1295, 2186, 675, 963]"
12.0,101.06,3,12,"[1719, 2313, 2567, 2112, 2455, 2038, 2198, 1326, 963, 1226, 2543, 1613]"
