n_nodes,influence,time,nodes
4.0,506.86,6,"[719, 583, 354, 201]"
2.0,427.92,5,"[257, 447]"
5.0,521.96,7,"[472, 55, 754, 213, 362]"
6.0,531.62,7,"[144, 493, 754, 20, 303, 362]"
9.0,546.84,7,"[719, 639, 754, 710, 213, 69, 383, 81, 285]"
8.0,538.1,7,"[242, 639, 764, 754, 20, 213, 18, 362]"
3.0,449.08,6,"[561, 242, 759]"
11.0,552.78,7,"[719, 7, 769, 20, 242, 569, 78, 52, 339, 27, 694]"
17.0,562.62,7,"[744, 458, 769, 20, 721, 715, 274, 71, 242, 54, 714, 694, 623, 115, 375, 285, 18]"
3.0,492.04,5,"[326, 639, 201]"
7.0,532.72,7,"[719, 639, 213, 634, 20, 362, 764]"
10.0,546.92,7,"[744, 7, 769, 20, 383, 242, 619, 52, 339, 27]"
4.0,455.54,7,"[533, 773, 17, 362]"
15.0,559.64,7,"[431, 7, 278, 721, 20, 769, 715, 274, 714, 375, 54, 242, 694, 71, 623]"
13.0,557.96,7,"[719, 7, 769, 20, 85, 283, 537, 590, 789, 333, 694, 115, 1]"
1.0,336.44,4,[492]
