n_nodes,influence,communities,time,nodes
10.0,557.15,7,10,"[3704, 1411, 604, 1412, 3276, 1779, 2328, 1444, 3402, 3538]"
67.0,1488.55,10,14,"[45, 3538, 604, 446, 1433, 4854, 3276, 5293, 2807, 1412, 240, 612, 2328, 1914, 2430, 184, 421, 988, 35, 365, 615, 13, 110, 263, 1478, 223, 524, 987, 2312, 562, 1532, 884, 98, 52, 1422, 1549, 2960, 1848, 2957, 2212, 1521, 3402, 4503, 230, 2035, 2718, 183, 3046, 3728, 1809, 1102, 635, 2641, 1714, 5067, 1603, 1444, 479, 567, 172, 1303, 1411, 941, 262, 1816, 1346, 1699]"
81.0,1496.61,10,13,"[3195, 3538, 1439, 2328, 2960, 4742, 5033, 1412, 988, 3007, 3548, 1914, 2430, 3276, 421, 563, 230, 2957, 1411, 1589, 3402, 110, 884, 3728, 1509, 524, 1346, 545, 487, 1444, 2158, 365, 838, 540, 987, 1531, 1714, 35, 786, 744, 172, 184, 1743, 1601, 1532, 1699, 159, 223, 553, 218, 734, 868, 4270, 1648, 98, 834, 1303, 1873, 175, 3046, 905, 2035, 635, 13, 2718, 479, 1549, 1102, 1603, 4311, 2312, 2487, 941, 718, 3142, 562, 615, 1848, 183, 1478, 52]"
58.0,1446.95,11,14,"[3704, 491, 1411, 4361, 3276, 3927, 1495, 3007, 4708, 3992, 2224, 13, 1478, 230, 184, 3538, 263, 1412, 988, 223, 2957, 1422, 1532, 1816, 1699, 35, 3402, 524, 240, 2430, 98, 1444, 2312, 987, 3728, 562, 1714, 52, 1549, 941, 2960, 2212, 1521, 4503, 2718, 2035, 183, 1102, 96, 1346, 1603, 635, 834, 3046, 868, 172, 479, 262]"
18.0,893.67,10,15,"[3704, 604, 1411, 240, 3276, 2041, 4854, 562, 1444, 3538, 13, 1412, 2312, 184, 988, 1346, 3402, 3728]"
57.0,1430.57,10,14,"[45, 3538, 604, 446, 1433, 4854, 5293, 3276, 2807, 2328, 240, 615, 612, 1914, 2430, 1412, 1478, 223, 987, 1532, 98, 988, 365, 184, 52, 110, 421, 1422, 1411, 35, 262, 263, 2312, 884, 13, 524, 2957, 1549, 3728, 1809, 562, 2960, 4503, 1816, 1303, 2718, 1444, 2035, 1848, 2212, 230, 1699, 1765, 3402, 3046, 1714, 1346]"
45.0,1330.32,11,14,"[3704, 1891, 603, 4361, 3276, 35, 184, 1412, 988, 1411, 13, 5570, 4580, 3728, 3538, 563, 3304, 240, 1848, 884, 172, 2054, 545, 2312, 1816, 987, 524, 1549, 2960, 4316, 1422, 2957, 3402, 1444, 1346, 1303, 2035, 3046, 2212, 1714, 230, 1765, 1699, 1809, 2718]"
79.0,1474.2,12,13,"[3704, 4378, 2807, 1809, 491, 3007, 3276, 1335, 3927, 4266, 1478, 3303, 647, 1411, 4361, 263, 479, 563, 2312, 905, 184, 988, 421, 13, 1648, 3538, 884, 524, 487, 1549, 2960, 744, 3728, 786, 3142, 1299, 3402, 1303, 4503, 1444, 1531, 1562, 540, 2915, 2718, 159, 635, 545, 35, 1699, 987, 1743, 734, 553, 172, 941, 218, 175, 562, 52, 1589, 1714, 183, 1848, 2487, 3046, 1601, 1603, 587, 868, 1102, 718, 1873, 4311, 736, 110, 225, 615, 1509]"
17.0,866.09,9,14,"[1147, 1330, 2960, 1412, 3125, 2927, 3455, 3538, 1346, 988, 1411, 1444, 2312, 3402, 3276, 3728, 184]"
12.0,574.69,12,11,"[3704, 4378, 4361, 603, 1411, 3276, 2758, 3402, 13, 3728, 3538, 988]"
