n_nodes,influence,communities,time,nodes
5.0,264.29,5,11,"[1849, 185, 662, 981, 1634]"
11.0,411.95,6,11,"[419, 1634, 662, 185, 94, 981, 783, 1873, 1426, 1060, 610]"
3.0,142.53,4,9,"[419, 808, 1426]"
3.0,128.7,5,10,"[419, 1760, 1634]"
10.0,295.83,8,11,"[419, 1432, 1634, 783, 1727, 62, 185, 1873, 1060, 1581]"
4.0,198.96,5,10,"[419, 924, 662, 185]"
5.0,245.4,6,11,"[11, 981, 1634, 185, 662]"
8.0,185.36,8,10,"[829, 1432, 1634, 783, 1727, 62, 185, 1873]"
11.0,332.37,8,11,"[419, 1432, 1727, 185, 125, 1824, 1873, 981, 1634, 783, 1426]"
6.0,264.89,6,11,"[419, 86, 1727, 1634, 981, 185]"
6.0,289.28,5,11,"[419, 662, 775, 185, 1634, 981]"
7.0,326.67,6,11,"[419, 1430, 1060, 1634, 981, 662, 185]"
2.0,93.93,4,9,"[419, 1789]"
17.0,447.9,7,11,"[419, 382, 662, 1581, 1727, 373, 185, 1634, 864, 981, 1304, 783, 514, 610, 6, 1060, 1426]"
9.0,367.59,6,11,"[419, 67, 662, 185, 1634, 783, 1873, 981, 1060]"
7.0,267.77,7,11,"[419, 1430, 1060, 1744, 1634, 324, 662]"
10.0,367.13,7,11,"[419, 662, 1430, 1727, 185, 1634, 981, 1060, 1300, 1426]"
16.0,442.72,7,11,"[419, 94, 662, 185, 1634, 783, 1401, 981, 864, 1744, 1581, 1426, 1304, 1060, 948, 1686]"
8.0,356.31,5,11,"[419, 1399, 1060, 662, 981, 1426, 185, 1634]"
19.0,468.51,7,11,"[419, 1073, 662, 185, 1727, 86, 597, 1060, 1317, 783, 1873, 47, 981, 1163, 1634, 610, 1581, 431, 1426]"
14.0,437.16,7,11,"[419, 67, 662, 185, 1744, 610, 1581, 783, 1634, 981, 427, 864, 1060, 1426]"
19.0,466.41,8,11,"[419, 662, 1430, 1727, 86, 185, 1386, 1317, 783, 981, 1634, 1060, 1873, 1426, 47, 1163, 610, 1581, 431]"
16.0,418.37,8,11,"[419, 1432, 662, 185, 1727, 86, 1873, 1060, 597, 783, 1686, 864, 981, 1537, 1581, 1426]"
9.0,340.13,7,11,"[419, 1430, 1744, 1060, 1441, 185, 981, 662, 1634]"
12.0,381.14,8,11,"[419, 1430, 1060, 1873, 86, 138, 185, 1751, 981, 662, 1634, 1426]"
8.0,322.11,7,11,"[419, 1432, 105, 1634, 185, 1060, 1426, 981]"
14.0,439.33,6,11,"[419, 1789, 662, 1553, 185, 1634, 1060, 1426, 981, 610, 1581, 783, 427, 864]"
9.0,238.18,8,11,"[862, 1432, 1634, 783, 1727, 62, 1873, 185, 1060]"
8.0,352.48,6,10,"[419, 662, 1721, 185, 783, 1426, 1634, 981]"
11.0,378.88,7,11,"[419, 1430, 1060, 1744, 783, 1581, 185, 1422, 1634, 981, 662]"
18.0,463.1,6,11,"[419, 67, 662, 185, 1824, 373, 1100, 1060, 514, 783, 1873, 981, 864, 1634, 610, 1581, 1426, 1304]"
18.0,457.86,7,11,"[419, 662, 1430, 931, 86, 185, 1386, 1317, 47, 1163, 783, 981, 1634, 1060, 610, 1873, 1426, 1581]"
6.0,237.44,7,10,"[419, 1432, 1634, 185, 981, 1743]"
17.0,436.3,8,11,"[419, 1430, 138, 1060, 86, 1873, 185, 1751, 47, 1163, 662, 783, 981, 610, 1601, 1634, 1426]"
2.0,102.16,3,8,"[419, 1587]"
14.0,403.34,8,11,"[419, 1430, 138, 86, 1060, 1873, 185, 1751, 236, 1634, 610, 783, 1426, 981]"
18.0,455.8,8,11,"[419, 1432, 662, 185, 1727, 1014, 86, 1686, 864, 1873, 1537, 1060, 1634, 783, 610, 981, 1581, 1426]"
20.0,480.22,8,10,"[419, 1430, 1060, 1744, 783, 86, 185, 1581, 1873, 597, 981, 662, 610, 1317, 1426, 1634, 431, 47, 1492, 864]"
12.0,404.84,7,10,"[419, 67, 662, 185, 1744, 610, 1581, 247, 1634, 1060, 1426, 981]"
10.0,374.35,6,11,"[419, 1073, 662, 185, 569, 86, 1634, 1060, 1426, 981]"
