n_nodes,influence,time,nodes
13.0,43.76,18,"[5607, 5255, 2648, 4131, 4946, 5430, 4245, 293, 359, 2012, 2763, 1924, 4468]"
106.0,339.99,141,"[5132, 2374, 3829, 1589, 5249, 1631, 1096, 2473, 3577, 4508, 3110, 3374, 2487, 4740, 5584, 3956, 4468, 3523, 5321, 643, 4901, 3190, 5147, 1193, 273, 1669, 1648, 2151, 1186, 2029, 2936, 1584, 3245, 1989, 11, 3723, 4171, 5063, 4782, 258, 5191, 2772, 3607, 717, 3456, 2720, 391, 2776, 4309, 481, 2147, 484, 305, 4996, 3766, 4877, 5062, 270, 5419, 3248, 4386, 4721, 2378, 113, 5752, 5071, 3309, 4781, 1779, 3533, 3282, 1106, 4135, 3130, 1761, 3243, 4360, 4818, 57, 2885, 5253, 4683, 1777, 1565, 2123, 965, 5330, 72, 5248, 4302, 222, 1180, 5607, 1852, 4730, 504, 2781, 315, 1357, 207, 3109, 2822, 2108, 2478, 5299, 1679]"
15.0,51.97,16,"[1096, 316, 4901, 3076, 1158, 3657, 5118, 4079, 4300, 2082, 5258, 3876, 3829, 4317, 1638]"
5.0,15.86,2,"[5285, 2270, 2871, 3574, 4554]"
127.0,391.09,147,"[2592, 207, 4281, 4327, 5113, 5301, 193, 3402, 4038, 1492, 1964, 1166, 4317, 2078, 3872, 4087, 2879, 4854, 1535, 1295, 2478, 2378, 2536, 5584, 1888, 3514, 3423, 1951, 2183, 125, 3136, 3245, 1372, 5062, 3358, 1346, 3158, 967, 1528, 3032, 4937, 800, 3375, 3283, 2872, 2954, 2956, 3876, 4298, 4503, 2834, 2776, 768, 5395, 3023, 4830, 3828, 2807, 339, 4679, 4068, 871, 1106, 2772, 717, 5674, 481, 3156, 3993, 324, 2786, 2548, 4715, 4449, 3516, 3974, 4234, 742, 644, 3018, 3770, 3286, 5362, 965, 1559, 1482, 4726, 4396, 1109, 2736, 2891, 2885, 1814, 2512, 0, 151, 4072, 699, 4776, 2339, 2469, 1707, 3580, 2040, 3583, 367, 2999, 1286, 3885, 104, 4302, 3971, 2194, 382, 3164, 3394, 3520, 3845, 4883, 2470, 4349, 3982, 3031, 1430, 1761, 40, 4790]"
10.0,34.08,8,"[2772, 3155, 4040, 2053, 3948, 3248, 3956, 1876, 5607, 3266]"
30.0,98.73,45,"[2755, 3276, 5362, 2470, 397, 264, 3043, 3160, 57, 4819, 3818, 1233, 207, 2453, 1648, 5430, 1229, 3120, 2536, 4789, 4437, 4349, 5608, 2012, 2864, 2822, 4387, 1582, 297, 3281]"
132.0,425.47,166,"[3865, 1535, 363, 4877, 3456, 3030, 4554, 5362, 3178, 3043, 3632, 2960, 4581, 34, 3252, 1619, 4805, 4919, 3673, 4996, 391, 11, 2194, 113, 4576, 470, 2053, 1446, 5181, 4721, 180, 2321, 796, 3105, 3956, 749, 3120, 1462, 1560, 4830, 677, 2951, 5286, 684, 3577, 1852, 4767, 2490, 5564, 4955, 1990, 1921, 4360, 5057, 3365, 5333, 5607, 1522, 4038, 5153, 3151, 2099, 3321, 4816, 552, 5062, 4686, 1346, 2949, 2469, 2069, 2151, 4267, 1589, 4124, 3190, 135, 2878, 4215, 3633, 2976, 1295, 800, 3769, 3872, 3031, 2147, 3971, 2785, 3439, 4463, 2478, 4396, 1679, 1648, 1565, 621, 4890, 4069, 5572, 2536, 3374, 3723, 2671, 1831, 2374, 4564, 1562, 1430, 1017, 1998, 960, 1238, 70, 3656, 1928, 2051, 1325, 438, 1964, 2779, 4740, 1917, 2344, 2237, 2781, 4260, 3088, 1868, 2485, 4131, 3262]"
122.0,373.16,133,"[1691, 113, 5059, 3449, 3648, 2299, 3252, 2473, 4862, 2093, 4506, 4823, 2453, 2759, 4135, 1560, 3178, 1584, 927, 3853, 2512, 5285, 2039, 4998, 470, 3815, 4535, 4131, 1109, 4740, 1619, 2928, 4174, 4267, 5253, 3336, 2275, 1297, 2053, 3516, 5132, 3243, 4303, 3112, 2895, 2469, 1629, 3238, 215, 3032, 1180, 258, 5213, 3196, 3907, 4494, 4883, 3164, 4298, 4996, 2108, 5380, 57, 5692, 1322, 2237, 2045, 3031, 391, 4581, 5427, 4966, 2954, 967, 4299, 3697, 1910, 238, 5215, 5330, 2431, 4843, 4816, 3865, 4782, 1174, 996, 5405, 4653, 4408, 749, 2356, 1084, 4182, 1325, 3984, 4079, 3974, 3694, 4327, 1991, 3309, 5248, 5050, 1679, 2490, 4564, 3088, 3805, 4679, 2288, 3373, 3799, 3580, 3288, 4554, 3574, 193, 4244, 2312, 1576, 315]"
51.0,177.14,81,"[3400, 1017, 4091, 5362, 4135, 3907, 2822, 982, 699, 4916, 1624, 3947, 5026, 4024, 1619, 3345, 4038, 3873, 4760, 4048, 2031, 929, 960, 258, 3168, 707, 5088, 3151, 1309, 2183, 2321, 2968, 4257, 768, 5015, 3102, 4644, 4721, 151, 2951, 621, 4865, 4568, 1684, 2147, 1638, 2478, 610, 1951, 1565, 215]"
97.0,327.08,151,"[275, 1492, 4298, 34, 3423, 2545, 5380, 1278, 3178, 273, 1641, 5074, 2846, 2879, 1446, 180, 135, 305, 3599, 4135, 2151, 1398, 5674, 481, 1054, 2485, 4087, 3164, 4576, 2928, 2099, 3120, 2250, 2756, 4515, 5147, 4281, 848, 4869, 3336, 3673, 2671, 2853, 2372, 0, 3689, 2377, 1563, 5401, 1062, 3034, 388, 3956, 1843, 4396, 2040, 2891, 643, 3607, 2194, 2951, 3656, 2234, 38, 3872, 1036, 5584, 1180, 785, 4832, 484, 2823, 5057, 5477, 1269, 3641, 5171, 2772, 2536, 1503, 1625, 2960, 2362, 4267, 2177, 965, 3031, 5118, 733, 1161, 5016, 4352, 1528, 960, 2757, 2053, 2452]"
4.0,13.79,3,"[1102, 3327, 3143, 3420]"
