n_nodes,influence,communities,time,nodes
1.0,278.06,3,15,[1968]
10.0,392.0,10,16,"[1539, 2839, 2129, 2821, 1856, 489, 1885, 2806, 630, 2747]"
11.0,401.04,9,15,"[2019, 2839, 2129, 2821, 489, 1856, 1885, 2806, 630, 2747, 1279]"
6.0,382.79,7,16,"[2432, 1032, 2021, 1998, 2884, 489]"
12.0,413.59,7,16,"[2432, 1032, 1856, 2277, 2485, 2028, 489, 2806, 630, 2747, 2359, 1279]"
5.0,367.76,7,15,"[1539, 2839, 1856, 1138, 630]"
17.0,438.7,7,17,"[2432, 1032, 1448, 1998, 2884, 489, 630, 2747, 1338, 11, 683, 48, 1907, 1939, 2803, 857, 1279]"
6.0,321.53,8,15,"[1539, 2839, 2129, 2821, 1856, 1963]"
11.0,406.1,8,15,"[2432, 1032, 2358, 2821, 1885, 489, 2806, 1856, 797, 2747, 1279]"
7.0,389.13,7,15,"[2432, 1032, 2021, 1682, 2806, 630, 2747]"
20.0,429.45,10,14,"[1539, 2839, 2574, 2346, 2129, 1338, 107, 1939, 2821, 2060, 2747, 630, 2806, 1279, 489, 1635, 11, 857, 1856, 2803]"
4.0,368.46,6,16,"[1539, 1032, 2021, 1453]"
28.0,457.74,8,14,"[2432, 1032, 2399, 1856, 2884, 48, 2331, 489, 11, 630, 2747, 1279, 1435, 2858, 1210, 1635, 390, 2125, 70, 1625, 683, 107, 1335, 2803, 1906, 1812, 1338, 857]"
37.0,465.97,10,15,"[2432, 1032, 2358, 2129, 2815, 2821, 2806, 1939, 2747, 1446, 855, 2803, 2359, 857, 603, 1279, 1301, 492, 489, 2127, 1635, 221, 11, 2496, 1188, 1049, 2645, 2117, 2125, 390, 2138, 1764, 2648, 2858, 683, 844, 1907]"
15.0,411.05,11,15,"[1539, 2839, 2774, 2129, 1762, 2821, 2141, 489, 630, 2747, 2806, 1279, 1856, 683, 1812]"
11.0,393.62,10,16,"[1539, 2839, 2129, 2821, 818, 1856, 489, 2806, 1949, 2747, 630]"
18.0,421.87,11,15,"[1539, 2839, 2774, 1939, 2129, 2803, 2141, 857, 2821, 2040, 2747, 1279, 630, 2806, 489, 1856, 683, 1812]"
13.0,400.98,10,15,"[1539, 2839, 1885, 2641, 2806, 1338, 2129, 694, 2747, 1856, 2821, 489, 630]"
13.0,410.29,8,15,"[2432, 1032, 2129, 2821, 1885, 2665, 489, 2806, 1025, 683, 1279, 268, 1856]"
15.0,413.58,10,15,"[1539, 2839, 694, 1769, 2129, 2141, 1856, 1128, 489, 683, 1812, 2747, 630, 1279, 2806]"
14.0,403.54,11,15,"[1539, 2839, 2141, 2129, 1279, 2821, 1885, 683, 1209, 630, 2747, 2806, 107, 1856]"
3.0,331.89,6,17,"[1968, 2854, 630]"
2.0,322.64,5,17,"[2021, 397]"
10.0,396.18,9,16,"[1539, 2839, 2129, 2747, 1856, 489, 2716, 2806, 630, 1279]"
8.0,363.03,9,16,"[1539, 2839, 489, 2129, 1885, 2670, 2806, 1856]"
1.0,259.48,4,14,[1687]
10.0,406.65,7,15,"[2432, 1032, 2129, 2747, 1856, 1688, 2806, 630, 489, 1279]"
19.0,427.41,11,16,"[1539, 2839, 2660, 2129, 1762, 2821, 2141, 489, 630, 2747, 2806, 1279, 683, 1939, 2803, 342, 1856, 11, 857]"
