n_nodes,influence,communities,time,nodes
6.0,21.37,3,5,"[197, 254, 770, 312, 379, 617]"
9.0,23.86,6,4,"[617, 278, 40, 365, 241, 180, 104, 829, 887]"
9.0,29.33,3,5,"[617, 570, 217, 426, 254, 678, 154, 189, 227]"
7.0,23.7,3,4,"[197, 217, 227, 498, 154, 617, 678]"
6.0,14.68,6,4,"[1007, 40, 116, 312, 379, 617]"
14.0,39.16,6,5,"[617, 22, 678, 448, 589, 116, 248, 191, 241, 230, 960, 356, 605, 221]"
17.0,40.48,7,5,"[31, 618, 137, 294, 166, 617, 867, 565, 703, 168, 306, 995, 161, 488, 116, 246, 890]"
17.0,44.92,6,5,"[617, 22, 217, 678, 227, 239, 248, 990, 616, 241, 605, 221, 823, 677, 380, 116, 454]"
4.0,16.41,2,5,"[197, 254, 743, 617]"
22.0,53.86,7,5,"[617, 22, 217, 678, 227, 239, 248, 154, 554, 241, 605, 995, 823, 677, 403, 116, 454, 3, 565, 246, 890, 417]"
18.0,45.07,7,5,"[1007, 351, 116, 294, 166, 617, 867, 241, 161, 306, 754, 39, 565, 345, 540, 206, 254, 189]"
12.0,28.21,7,5,"[1007, 351, 116, 294, 166, 617, 867, 241, 848, 306, 754, 39]"
23.0,55.22,7,5,"[1007, 40, 116, 761, 306, 248, 617, 241, 726, 767, 575, 454, 823, 172, 417, 616, 639, 168, 265, 672, 686, 867, 820]"
15.0,39.55,7,5,"[197, 12, 589, 448, 248, 246, 999, 617, 895, 121, 172, 565, 855, 540, 254]"
11.0,35.97,4,5,"[197, 159, 116, 634, 448, 137, 753, 241, 754, 295, 617]"
5.0,19.84,3,5,"[197, 227, 495, 617, 241]"
24.0,60.71,5,6,"[197, 159, 116, 761, 306, 248, 767, 172, 168, 454, 634, 726, 241, 700, 820, 181, 823, 672, 617, 867, 616, 265, 686, 565]"
11.0,33.67,5,5,"[935, 254, 116, 634, 617, 448, 137, 753, 241, 754, 295]"
3.0,13.84,2,4,"[199, 254, 617]"
21.0,55.08,4,5,"[197, 159, 116, 761, 306, 248, 767, 172, 241, 782, 575, 412, 617, 672, 823, 417, 454, 168, 265, 686, 565]"
23.0,56.85,6,5,"[31, 159, 116, 761, 876, 617, 248, 241, 726, 767, 575, 454, 823, 172, 417, 616, 565, 168, 265, 672, 686, 867, 820]"
21.0,54.66,5,5,"[197, 217, 227, 116, 761, 616, 617, 867, 248, 306, 672, 322, 454, 168, 265, 241, 172, 823, 575, 609, 565]"
10.0,29.61,5,5,"[199, 351, 617, 116, 450, 166, 867, 241, 306, 161]"
3.0,11.69,3,3,"[197, 891, 617]"
