n_nodes,influence,communities,time,nodes
1.0,32.52,1,5,[5409]
2.0,58.29,4,8,"[3933, 5010]"
9.0,290.11,7,13,"[2318, 58, 3566, 1407, 4382, 3219, 5037, 3852, 980]"
6.0,305.84,6,12,"[3615, 5010, 483, 1407, 3948, 3219]"
7.0,383.7,6,13,"[5549, 5010, 1632, 1138, 4091, 1994, 3219]"
14.0,614.26,7,15,"[5549, 5010, 683, 1138, 4091, 4173, 1569, 329, 3544, 1538, 1994, 3219, 2644, 4278]"
17.0,515.37,8,14,"[29, 5010, 4364, 2639, 4091, 5322, 1136, 1138, 3560, 4173, 3544, 3579, 1569, 4278, 2848, 3514, 1538]"
21.0,578.49,8,15,"[1030, 5010, 3560, 46, 1138, 4091, 43, 4508, 1136, 2326, 5598, 4354, 4173, 3488, 3242, 4278, 2744, 5510, 3600, 252, 2481]"
35.0,886.6,8,14,"[720, 5010, 4540, 1407, 3544, 4156, 4364, 5322, 3023, 4278, 537, 3514, 5598, 2719, 2644, 4565, 3242, 2744, 3902, 3050, 5696, 1018, 5022, 3219, 4354, 3630, 1538, 2516, 2656, 738, 410, 1994, 4237, 5229, 3392]"
56.0,1141.03,8,13,"[1030, 5010, 3560, 46, 1138, 4091, 43, 4508, 1136, 2326, 4579, 5624, 9, 647, 4354, 4173, 4278, 2744, 533, 2644, 3242, 3488, 3994, 3600, 3509, 2481, 5510, 2516, 4718, 124, 4583, 241, 1538, 2891, 2490, 3902, 841, 1407, 738, 1994, 4930, 1242, 3514, 1820, 5696, 1172, 2052, 3068, 4960, 1714, 5229, 3392, 3219, 5022, 2719, 5138]"
24.0,760.48,8,14,"[5122, 5010, 3871, 4091, 1994, 1138, 1136, 2644, 3560, 3150, 5598, 2326, 5022, 3219, 4354, 3630, 1538, 2516, 2656, 738, 410, 4237, 5229, 3392]"
33.0,879.88,8,14,"[5549, 5010, 4173, 1138, 4091, 5326, 4364, 1787, 1569, 4156, 5322, 273, 2725, 974, 4278, 3544, 3219, 2226, 533, 1988, 3630, 2516, 2656, 2744, 2719, 410, 1994, 1538, 4237, 3242, 738, 5229, 3392]"
4.0,208.23,5,12,"[3644, 2095, 3219, 4156]"
4.0,189.01,6,12,"[124, 5010, 3560, 1138]"
11.0,512.77,6,15,"[1493, 4156, 5010, 1407, 3219, 5071, 1994, 2806, 3509, 3600, 5598]"
36.0,923.34,8,14,"[5122, 5010, 1569, 1138, 4091, 1407, 2550, 3129, 3514, 3544, 4156, 4173, 5598, 2719, 329, 2644, 4565, 3242, 1994, 2744, 3902, 3050, 5696, 1018, 5022, 3219, 4354, 3630, 1538, 2516, 2656, 738, 410, 4237, 5229, 3392]"
15.0,424.4,8,14,"[29, 5010, 4364, 2639, 4091, 5322, 1136, 1138, 5154, 4173, 3544, 3579, 1569, 4278, 2848]"
52.0,1117.95,7,14,"[1493, 4156, 5010, 1407, 5071, 3219, 2806, 3395, 2644, 1994, 1138, 5598, 3876, 2823, 3560, 4173, 4278, 4794, 4702, 2680, 635, 1916, 5587, 359, 4760, 813, 5037, 3392, 2824, 1438, 3763, 41, 2460, 4371, 5510, 9, 687, 533, 555, 3994, 4718, 5410, 2490, 921, 4930, 1820, 917, 1953, 5022, 4354, 3050, 5229]"
11.0,462.3,7,15,"[29, 5010, 3456, 1035, 4091, 3509, 3600, 1994, 3219, 5598, 1407]"
25.0,787.09,8,14,"[2318, 5034, 3566, 1407, 794, 5043, 5356, 1538, 3509, 537, 5598, 1134, 3600, 5010, 3383, 4565, 2032, 3514, 3901, 2644, 1994, 3219, 1138, 4278, 2744]"
3.0,181.47,4,11,"[855, 5010, 1138]"
52.0,1026.66,8,14,"[1493, 3871, 5010, 1407, 1138, 3219, 4091, 2644, 4794, 1994, 4173, 5598, 3560, 3600, 4972, 813, 5587, 4702, 3392, 3763, 1538, 3793, 167, 2326, 4288, 4865, 5409, 2611, 1549, 4359, 9, 2537, 4937, 5624, 2715, 4583, 4278, 1714, 3488, 124, 1242, 3265, 1438, 2516, 2460, 3902, 5510, 3994, 4924, 5410, 4960, 2490]"
35.0,930.09,6,15,"[1493, 4156, 1138, 4091, 813, 3219, 5726, 3509, 1858, 1994, 5587, 1134, 765, 2460, 5624, 9, 647, 2644, 533, 4237, 2516, 16, 3392, 4354, 1538, 738, 3242, 3514, 3902, 5229, 4565, 4278, 5022, 2719, 2744]"
33.0,897.57,7,15,"[5549, 2186, 5010, 1138, 4091, 4364, 5322, 4173, 649, 4278, 3544, 329, 1569, 537, 4156, 5037, 2824, 1994, 5598, 4237, 5229, 5696, 3514, 738, 1538, 3219, 2719, 4565, 3242, 2744, 3902, 3392, 2644]"
38.0,1019.65,6,14,"[1493, 3994, 1138, 4091, 4156, 4718, 124, 4583, 1198, 3219, 813, 1994, 765, 241, 1134, 4354, 5624, 5587, 1858, 3509, 1538, 647, 2644, 9, 533, 2460, 5022, 2516, 2719, 3242, 4278, 2744, 3514, 738, 3902, 3392, 4565, 5229]"
30.0,871.89,8,13,"[3615, 5010, 483, 1136, 4091, 3219, 3560, 3150, 1138, 2326, 5022, 1994, 5598, 2644, 4354, 5141, 2516, 2656, 410, 4237, 5037, 2176, 2537, 4718, 4145, 5332, 5229, 175, 4865, 1538]"
68.0,1214.83,8,14,"[1493, 4156, 5010, 4091, 4972, 3219, 3793, 167, 2644, 2326, 1138, 1994, 5598, 4288, 3514, 3560, 557, 4565, 5332, 4173, 4702, 175, 1538, 4278, 4794, 3673, 2744, 5587, 2052, 803, 5624, 2678, 868, 4583, 5480, 3392, 813, 124, 2719, 3242, 3509, 4718, 3763, 2715, 2689, 1427, 2460, 2427, 3376, 2516, 5043, 5537, 3050, 533, 9, 3994, 1907, 3760, 4960, 5363, 3902, 872, 4848, 5022, 3402, 5191, 4121, 4354]"
67.0,1178.56,7,14,"[5549, 5010, 3497, 1138, 4091, 43, 4173, 4508, 1136, 5598, 5138, 2032, 1714, 3488, 1538, 5696, 1242, 1134, 3219, 3265, 2644, 738, 3514, 1438, 1994, 4565, 5510, 3043, 1407, 2744, 5624, 2490, 841, 4930, 2202, 2481, 124, 3392, 4583, 1820, 2719, 3509, 3242, 4960, 917, 1953, 4278, 5537, 3760, 2516, 5363, 872, 4718, 3600, 2715, 4848, 3402, 5191, 3902, 4354, 9, 533, 3994, 2460, 5022, 3050, 5229]"
29.0,840.28,8,14,"[5527, 5010, 483, 1138, 4091, 3219, 4173, 5322, 273, 2725, 4156, 3514, 4364, 3544, 2032, 2388, 3333, 4278, 329, 4778, 3600, 3509, 1569, 5138, 3392, 2644, 1994, 1538, 738]"
3.0,167.56,5,10,"[1493, 1138, 3748]"
44.0,1061.64,7,14,"[1493, 4156, 5071, 1407, 5010, 2806, 3395, 3219, 3876, 2823, 2644, 3560, 1138, 4278, 4794, 1994, 4702, 2680, 5598, 635, 1916, 4173, 5587, 359, 4760, 813, 5037, 2824, 1438, 3763, 41, 2460, 3764, 5510, 9, 687, 3392, 533, 555, 3994, 4354, 3050, 5229, 5022]"
