n_nodes,influence,time,nodes
5.0,238.22,3,"[684, 199, 543, 201, 477]"
2.0,166.1,2,"[590, 563]"
1.0,101.78,2,[506]
3.0,172.86,4,"[536, 849, 316]"
3.0,189.42,3,"[524, 412, 543]"
9.0,253.52,6,"[464, 606, 710, 278, 375, 984, 80, 90, 125]"
4.0,201.9,3,"[161, 228, 470, 314]"
9.0,245.68,7,"[845, 370, 518, 582, 328, 984, 80, 90, 125]"
6.0,181.5,5,"[905, 93, 163, 291, 16, 568]"
6.0,220.46,4,"[493, 48, 673, 387, 551, 150]"
4.0,148.94,5,"[905, 90, 88, 614]"
12.0,285.06,4,"[21, 359, 673, 387, 419, 584, 431, 432, 745, 783, 566, 24]"
12.0,275.78,6,"[740, 55, 218, 437, 135, 969, 491, 850, 522, 238, 541, 672]"
4.0,190.74,4,"[77, 606, 581, 241]"
23.0,319.08,7,"[590, 48, 55, 199, 613, 739, 423, 187, 640, 783, 566, 844, 83, 723, 265, 170, 95, 357, 740, 375, 888, 382, 255]"
10.0,261.08,6,"[726, 895, 4, 318, 861, 165, 24, 791, 543, 135]"
14.0,296.98,3,"[198, 255, 510, 308, 676, 618, 568, 716, 238, 664, 372, 725, 599, 728]"
6.0,238.76,3,"[198, 131, 510, 459, 670, 150]"
21.0,316.54,6,"[803, 90, 266, 523, 164, 798, 229, 432, 745, 240, 516, 599, 380, 529, 847, 248, 837, 559, 76, 382, 255]"
21.0,308.62,7,"[803, 90, 932, 266, 523, 917, 230, 164, 432, 151, 229, 516, 380, 599, 745, 837, 934, 847, 76, 559, 255]"
11.0,281.98,5,"[233, 199, 48, 247, 816, 466, 491, 655, 850, 238, 535]"
10.0,278.84,4,"[198, 136, 457, 390, 676, 150, 751, 543, 952, 238]"
10.0,268.42,5,"[198, 414, 822, 446, 381, 881, 199, 568, 725, 698]"
16.0,296.64,7,"[198, 90, 457, 70, 676, 150, 751, 846, 382, 255, 357, 472, 206, 372, 888, 95]"
14.0,284.66,6,"[198, 90, 457, 70, 676, 150, 751, 846, 674, 255, 357, 472, 206, 372]"
13.0,293.94,5,"[198, 136, 457, 390, 676, 150, 751, 568, 375, 648, 30, 820, 372]"
21.0,321.98,5,"[493, 55, 218, 437, 135, 441, 199, 655, 794, 229, 484, 516, 380, 599, 745, 837, 736, 255, 847, 76, 559]"
8.0,264.14,3,"[795, 492, 330, 107, 150, 296, 199, 557]"
18.0,306.48,6,"[905, 414, 163, 196, 518, 186, 180, 568, 648, 104, 725, 24, 888, 306, 357, 861, 255, 774]"
20.0,306.92,7,"[704, 90, 341, 165, 553, 854, 150, 238, 745, 50, 566, 648, 465, 287, 959, 2, 472, 645, 95, 375]"
9.0,270.88,4,"[198, 437, 90, 135, 457, 441, 199, 655, 571]"
15.0,284.04,7,"[198, 583, 93, 199, 208, 439, 2, 568, 375, 648, 40, 716, 372, 888, 95]"
12.0,282.22,5,"[319, 271, 441, 199, 642, 73, 177, 745, 382, 531, 802, 888]"
13.0,282.78,6,"[766, 121, 144, 652, 82, 496, 878, 648, 584, 716, 372, 893, 95]"
15.0,302.3,6,"[198, 437, 135, 90, 441, 1006, 457, 846, 375, 648, 584, 346, 372, 893, 95]"
7.0,261.46,5,"[51, 90, 232, 795, 135, 441, 118]"
13.0,268.98,7,"[436, 90, 119, 196, 571, 854, 150, 919, 50, 566, 191, 775, 745]"
11.0,273.52,6,"[766, 48, 341, 165, 899, 553, 642, 151, 465, 287, 95]"
7.0,233.62,6,"[800, 90, 544, 17, 223, 949, 313]"
9.0,265.3,5,"[766, 596, 135, 90, 24, 121, 655, 441, 429]"
11.0,247.74,7,"[800, 90, 544, 17, 223, 839, 878, 238, 745, 621, 158]"
