n_nodes,influence,communities,time,nodes
1.0,13.93,1,4,[662]
2.0,17.58,3,4,"[137, 662]"
3.0,34.34,3,5,"[662, 431, 185]"
8.0,39.08,7,6,"[1732, 1443, 310, 981, 1810, 662, 921, 1563]"
5.0,51.45,4,6,"[1664, 301, 1507, 185, 662]"
13.0,97.9,5,6,"[1664, 185, 1507, 1060, 981, 1568, 662, 1448, 704, 1860, 419, 861, 1689]"
17.0,106.24,5,6,"[1664, 185, 313, 419, 981, 662, 1242, 1060, 1530, 704, 1860, 861, 1689, 985, 1634, 385, 1149]"
17.0,106.66,4,7,"[1664, 185, 1507, 1060, 231, 1263, 981, 1568, 662, 314, 610, 859, 309, 1412, 704, 419, 1716]"
9.0,84.59,4,6,"[1664, 185, 1507, 981, 1490, 581, 1242, 1625, 419]"
10.0,74.03,7,7,"[78, 185, 1511, 1507, 981, 1060, 1793, 704, 419, 1433]"
23.0,119.52,6,6,"[1664, 185, 1568, 1507, 1060, 981, 662, 216, 1101, 1512, 610, 314, 310, 349, 419, 466, 1872, 1724, 474, 1648, 1490, 1528, 869]"
13.0,82.98,8,7,"[1664, 185, 1507, 1060, 291, 71, 1242, 1433, 861, 1689, 610, 1872, 1731]"
12.0,93.38,7,7,"[1664, 185, 1060, 1753, 1568, 981, 1448, 662, 704, 1860, 86, 419]"
16.0,104.97,8,7,"[1664, 185, 981, 1507, 1242, 1060, 596, 1433, 1634, 1810, 1754, 419, 47, 704, 261, 1689]"
15.0,95.88,8,7,"[662, 185, 1186, 874, 1507, 399, 1634, 1810, 1754, 47, 221, 704, 419, 1060, 1433]"
4.0,48.39,3,7,"[1664, 419, 981, 1233]"
22.0,120.19,4,6,"[1664, 185, 1507, 1634, 1242, 419, 1060, 981, 662, 1170, 314, 1689, 1512, 528, 295, 1297, 394, 1710, 704, 780, 595, 310]"
24.0,125.04,6,6,"[1664, 185, 1568, 1507, 1060, 981, 662, 877, 1716, 595, 115, 314, 1512, 349, 1011, 310, 610, 419, 1872, 474, 429, 1490, 1648, 1528]"
14.0,94.08,8,6,"[1664, 185, 981, 1433, 1242, 1507, 1768, 1060, 596, 1634, 1754, 419, 47, 1810]"
6.0,58.74,6,7,"[1664, 185, 1060, 1798, 62, 662]"
16.0,106.5,4,6,"[1664, 185, 1512, 1507, 1060, 981, 1568, 662, 1511, 1163, 610, 349, 1716, 419, 511, 704]"
9.0,65.59,7,7,"[137, 185, 1752, 1242, 1805, 581, 662, 1625, 419]"
7.0,67.61,5,7,"[1731, 185, 1215, 1242, 1634, 419, 662]"
22.0,116.02,8,7,"[1664, 185, 1073, 419, 1242, 999, 1716, 662, 145, 1754, 1810, 1634, 610, 1060, 1433, 1689, 47, 261, 1318, 1490, 126, 1258]"
12.0,94.89,5,6,"[1664, 185, 1507, 1568, 216, 1060, 981, 662, 1263, 1512, 86, 419]"
9.0,81.2,5,7,"[1664, 185, 1507, 1789, 1242, 419, 690, 981, 581]"
19.0,117.16,6,6,"[1664, 185, 1568, 1507, 1060, 981, 877, 662, 1716, 595, 34, 314, 1512, 349, 1011, 310, 610, 419, 1872]"
18.0,110.07,6,6,"[1664, 1768, 1082, 1634, 1242, 1060, 981, 1716, 662, 115, 314, 349, 1011, 610, 419, 1512, 595, 310]"
6.0,64.96,4,7,"[1664, 185, 1055, 1507, 419, 981]"
8.0,74.85,5,7,"[1664, 185, 1082, 128, 1060, 981, 419, 662]"
20.0,118.47,5,6,"[1664, 185, 1568, 981, 1507, 1060, 595, 877, 662, 34, 1716, 314, 1512, 349, 1011, 310, 1587, 126, 610, 419]"
18.0,113.36,5,6,"[1664, 185, 920, 1634, 1242, 981, 419, 1716, 1060, 662, 115, 314, 349, 1011, 610, 1512, 595, 310]"
