n_nodes,influence,communities,time,nodes
1.0,85.44,2,9,[1509]
21.0,431.23,8,16,"[1792, 3530, 3873, 6201, 7064, 5090, 2843, 151, 1856, 538, 1444, 641, 1677, 4484, 1834, 671, 6355, 1848, 2018, 7199, 110]"
50.0,572.75,7,12,"[1792, 6195, 101, 3530, 4994, 5174, 2922, 6887, 763, 4146, 2160, 6296, 661, 6617, 3701, 2897, 5176, 7587, 3822, 1350, 6544, 2391, 110, 1559, 1005, 1334, 3103, 6955, 7558, 1376, 1496, 2800, 505, 4532, 6884, 7412, 5041, 4880, 4738, 1599, 6016, 4754, 521, 5593, 1933, 4785, 1176, 429, 7224, 1721]"
5.0,268.39,5,17,"[1792, 6734, 2798, 3932, 3502]"
27.0,493.47,6,14,"[1792, 3530, 3873, 6201, 611, 3653, 3502, 4765, 3840, 1685, 4516, 5082, 2083, 4359, 6022, 6101, 313, 5876, 2755, 6797, 4785, 7558, 429, 1005, 1559, 110, 5593]"
27.0,482.15,8,15,"[1792, 6195, 101, 3530, 5355, 7052, 1804, 3853, 5764, 6636, 7199, 6201, 1618, 221, 3905, 1271, 426, 4746, 1546, 3667, 2798, 6022, 1677, 6101, 313, 3108, 5876]"
77.0,642.34,7,12,"[1792, 7119, 4994, 3557, 1099, 4125, 4146, 6887, 2160, 763, 2912, 1622, 3231, 1271, 5620, 1677, 6201, 3667, 110, 1848, 2018, 313, 5876, 5526, 2854, 4452, 4895, 2430, 3708, 6673, 1057, 1794, 4154, 5274, 3530, 4593, 6236, 2711, 4809, 5454, 473, 406, 306, 4506, 5254, 5862, 3614, 4691, 3399, 1937, 661, 3389, 6617, 2897, 6544, 2347, 6408, 4356, 1381, 3324, 4561, 5095, 1854, 6652, 2207, 989, 3382, 7100, 2259, 503, 5944, 879, 6065, 5159, 291, 4309, 7554]"
16.0,408.6,7,15,"[1792, 197, 4994, 3557, 5174, 4125, 4146, 6887, 2160, 763, 3653, 2595, 3701, 6811, 634, 110]"
12.0,383.74,6,16,"[1792, 3078, 4994, 3557, 5174, 4146, 4125, 6887, 2160, 763, 3653, 2595]"
2.0,86.33,3,12,"[1509, 5545]"
55.0,584.06,8,14,"[1792, 6734, 2685, 4125, 4711, 634, 3774, 2798, 799, 4899, 3557, 2232, 1725, 3584, 2420, 7623, 3923, 3082, 110, 6797, 1848, 7587, 7488, 5593, 7558, 1005, 1559, 2391, 1376, 1496, 2800, 3103, 139, 187, 1602, 7427, 4211, 4452, 5526, 2854, 4895, 232, 5962, 4408, 6461, 7141, 3755, 3845, 2707, 1006, 708, 2524, 4375, 4985, 6441]"
28.0,490.28,8,15,"[1792, 3530, 7064, 6201, 3873, 5090, 2843, 151, 1856, 538, 652, 641, 1677, 4484, 1834, 671, 6355, 1848, 2018, 7199, 7224, 110, 1721, 1599, 6884, 5593, 2160, 763]"
45.0,546.03,7,14,"[1792, 7119, 4994, 3557, 1099, 4125, 4146, 2160, 6887, 763, 1271, 5620, 2912, 7583, 1677, 1622, 4452, 3667, 313, 1848, 6201, 2430, 3708, 4895, 6673, 110, 5526, 5876, 1057, 1794, 2018, 4154, 5274, 6390, 6236, 2711, 4809, 5454, 473, 7034, 306, 6441, 2854, 2744, 4375]"
8.0,325.02,6,16,"[1792, 2452, 4309, 3900, 2798, 4188, 6217, 4633]"
95.0,663.88,8,12,"[1792, 6734, 4994, 4125, 5174, 3853, 5764, 3557, 7623, 4786, 1618, 110, 1848, 187, 1271, 1602, 5972, 7427, 4211, 2018, 1677, 174, 3845, 4895, 232, 3667, 5962, 2798, 6201, 7558, 1376, 1496, 2800, 2566, 4532, 5593, 6884, 7412, 4900, 4880, 4738, 1599, 6016, 4754, 521, 4208, 1176, 3614, 3530, 429, 7224, 1721, 3038, 4476, 5006, 4883, 3582, 1056, 1305, 2751, 4502, 5466, 6838, 2160, 500, 763, 4175, 4146, 3622, 6154, 2213, 287, 2998, 7225, 1838, 5440, 3861, 221, 5948, 7287, 3598, 7403, 7282, 1230, 6940, 4527, 7226, 6695, 2368, 3039, 1434, 1973, 184, 5303, 5530]"
4.0,224.11,5,15,"[1509, 2452, 2621, 7080]"
6.0,259.26,6,17,"[1509, 2452, 3290, 7080, 3345, 2707]"
