n_nodes,influence,communities,time,nodes
10.0,202.06,7,11,"[895, 33, 996, 69, 413, 617, 241, 974, 95, 31]"
9.0,188.45,7,11,"[895, 106, 290, 241, 370, 996, 617, 413, 31]"
7.0,91.08,7,10,"[895, 996, 819, 134, 498, 312, 31]"
6.0,143.6,6,11,"[895, 309, 129, 46, 617, 413]"
18.0,265.33,7,11,"[895, 119, 312, 805, 161, 998, 403, 31, 241, 413, 295, 617, 872, 753, 752, 638, 715, 95]"
5.0,141.21,5,11,"[895, 221, 32, 413, 617]"
9.0,199.54,6,11,"[895, 671, 129, 805, 599, 617, 413, 241, 31]"
11.0,220.57,7,12,"[895, 993, 159, 805, 241, 309, 129, 446, 413, 617, 31]"
14.0,252.59,6,11,"[895, 642, 738, 161, 97, 353, 254, 752, 295, 617, 753, 31, 241, 413]"
11.0,221.42,6,12,"[895, 155, 312, 161, 805, 129, 446, 31, 617, 241, 413]"
17.0,265.13,7,11,"[895, 309, 312, 805, 161, 650, 753, 998, 403, 752, 295, 31, 241, 413, 617, 638, 95]"
19.0,274.12,6,11,"[895, 642, 738, 161, 97, 353, 254, 752, 570, 295, 617, 31, 753, 974, 413, 638, 241, 93, 872]"
16.0,263.7,7,11,"[895, 427, 159, 998, 805, 586, 686, 161, 570, 413, 241, 95, 31, 295, 617, 753]"
13.0,246.3,6,11,"[895, 539, 254, 652, 241, 805, 95, 446, 161, 617, 413, 31, 753]"
4.0,120.26,4,9,"[895, 362, 617, 31]"
15.0,246.17,7,11,"[895, 309, 312, 805, 161, 650, 753, 998, 403, 752, 617, 31, 528, 413, 95]"
13.0,245.82,7,11,"[895, 642, 295, 855, 241, 996, 31, 161, 617, 413, 106, 729, 753]"
2.0,67.58,2,9,"[143, 617]"
20.0,280.63,6,11,"[895, 159, 106, 805, 129, 241, 309, 32, 413, 116, 31, 19, 349, 638, 686, 617, 570, 295, 974, 753]"
15.0,259.72,6,11,"[895, 539, 254, 652, 95, 204, 241, 375, 805, 570, 161, 31, 413, 617, 753]"
20.0,274.73,7,11,"[895, 642, 855, 295, 161, 241, 31, 729, 33, 996, 413, 516, 617, 572, 106, 753, 482, 974, 570, 894]"
17.0,266.62,6,11,"[895, 539, 254, 652, 95, 204, 375, 241, 805, 570, 974, 31, 894, 413, 161, 617, 575]"
12.0,241.93,6,11,"[895, 427, 652, 859, 161, 805, 617, 241, 753, 31, 413, 95]"
6.0,181.92,5,11,"[895, 834, 617, 241, 31, 413]"
8.0,152.31,7,11,"[999, 914, 413, 133, 617, 254, 161, 31]"
10.0,214.25,6,11,"[895, 642, 738, 161, 97, 277, 617, 241, 31, 413]"
7.0,186.02,6,12,"[895, 888, 95, 241, 413, 31, 617]"
5.0,151.4,4,11,"[895, 617, 420, 413, 31]"
18.0,273.38,6,11,"[895, 539, 254, 652, 95, 204, 375, 805, 241, 295, 974, 31, 638, 886, 413, 161, 617, 753]"
8.0,189.46,6,11,"[895, 317, 254, 617, 95, 241, 413, 31]"
11.0,228.3,5,11,"[895, 309, 904, 805, 161, 617, 413, 652, 446, 241, 31]"
21.0,285.29,7,11,"[895, 264, 317, 254, 159, 998, 752, 116, 974, 19, 570, 413, 638, 349, 95, 295, 872, 31, 241, 617, 753]"
4.0,129.27,3,11,"[895, 451, 617, 413]"
9.0,204.26,5,11,"[895, 974, 752, 849, 617, 241, 31, 753, 413]"
19.0,272.25,7,12,"[895, 642, 724, 254, 998, 264, 31, 161, 617, 413, 752, 974, 570, 638, 93, 241, 872, 295, 753]"
12.0,231.77,7,11,"[895, 918, 312, 805, 161, 996, 95, 31, 753, 617, 241, 413]"
3.0,104.98,3,10,"[895, 356, 617]"
1.0,35.81,1,6,[895]
8.0,200.55,5,11,"[895, 161, 376, 805, 31, 413, 617, 753]"
