n_nodes,influence,communities,time,nodes
4.0,556.0,5,17,"[1299, 5083, 1355, 4925]"
6.0,726.92,6,17,"[1299, 4045, 3409, 4925, 1355, 1942]"
5.0,658.18,5,17,"[1299, 4492, 1355, 4925, 1942]"
5.0,647.26,6,16,"[1299, 4081, 1355, 4925, 1942]"
1.0,101.95,2,9,[1381]
9.0,870.12,5,16,"[1299, 4747, 4412, 2204, 4925, 2634, 1355, 1942, 652]"
5.0,591.85,7,17,"[4066, 4925, 1355, 2728, 1942]"
9.0,787.31,7,16,"[4066, 4925, 2728, 1355, 1942, 2634, 2204, 4654, 978]"
16.0,921.01,10,16,"[4103, 4925, 2728, 4064, 5600, 743, 1942, 3967, 1208, 2204, 4412, 5386, 4161, 2634, 1355, 2632]"
14.0,995.86,7,17,"[1299, 3395, 4068, 4925, 3409, 3967, 4412, 2634, 3127, 4654, 2204, 1942, 1180, 1355]"
15.0,1049.48,7,16,"[1299, 2193, 4654, 4925, 3409, 4045, 3967, 1180, 4412, 4196, 5439, 2634, 1355, 1942, 2204]"
8.0,756.52,7,16,"[5314, 4925, 4064, 2728, 2634, 1355, 1942, 2204]"
16.0,998.29,8,17,"[1299, 4045, 4412, 4925, 3409, 837, 1942, 4043, 1355, 1115, 3967, 4118, 3476, 2634, 2204, 1180]"
24.0,1097.4,9,17,"[1299, 4045, 3409, 4925, 84, 4412, 2193, 4196, 2634, 1942, 2204, 1355, 4118, 20, 804, 3967, 4445, 2198, 3215, 1060, 1180, 3191, 276, 5598]"
6.0,744.75,5,17,"[1299, 190, 1355, 4925, 2204, 1942]"
10.0,928.72,5,17,"[1299, 4393, 837, 4925, 3409, 4412, 2634, 1355, 1942, 2204]"
11.0,948.47,6,16,"[1299, 4758, 3409, 4925, 84, 2193, 4412, 2634, 1355, 2204, 1942]"
8.0,538.22,9,17,"[4103, 4925, 2728, 1188, 1942, 4121, 1355, 4110]"
12.0,818.8,9,17,"[4103, 4925, 2728, 4064, 5098, 5600, 743, 3967, 1942, 2634, 1355, 4412]"
