n_nodes,influence,communities,time,nodes
4.0,28.73,2,7,"[993, 843, 364, 929]"
5.0,33.56,2,6,"[993, 843, 364, 929, 1052]"
3.0,20.75,2,6,"[854, 993, 502]"
4.0,26.85,3,6,"[720, 1063, 926, 1367]"
6.0,32.58,4,7,"[983, 843, 1210, 1367, 1832, 664]"
12.0,56.11,7,7,"[1921, 843, 926, 1661, 1367, 1027, 1454, 19, 1084, 457, 1997, 1147]"
7.0,40.16,4,7,"[929, 1155, 687, 1367, 1027, 947, 1828]"
7.0,30.67,6,5,"[1921, 843, 1367, 1210, 132, 1637, 611]"
6.0,27.48,5,6,"[1921, 843, 1367, 1210, 305, 1637]"
1.0,5.97,1,1,[989]
11.0,50.53,7,7,"[1921, 1155, 119, 858, 1754, 1261, 1997, 1666, 1027, 1147, 622]"
44.0,158.41,7,8,"[1921, 843, 926, 1367, 1661, 1027, 1454, 1134, 2009, 1842, 1147, 982, 994, 397, 622, 611, 1013, 847, 662, 1139, 351, 415, 841, 1146, 855, 664, 1034, 744, 1163, 1123, 724, 158, 460, 913, 894, 209, 774, 1900, 445, 1484, 648, 400, 959, 1218]"
26.0,117.65,6,8,"[1921, 843, 1367, 1210, 132, 1637, 611, 967, 855, 744, 1860, 457, 1218, 1201, 774, 622, 841, 1034, 1163, 1484, 1900, 400, 1139, 1146, 894, 959]"
6.0,35.26,2,7,"[854, 993, 889, 656, 1188, 877]"
10.0,49.07,7,7,"[1921, 843, 964, 1661, 1367, 1027, 2012, 163, 1147, 982]"
20.0,99.43,7,8,"[1921, 843, 964, 1661, 1367, 1027, 2012, 163, 1147, 982, 1163, 622, 889, 1146, 611, 1331, 530, 457, 1122, 1175]"
9.0,61.4,3,8,"[929, 1155, 926, 1367, 964, 1147, 1167, 457, 695]"
5.0,30.71,4,6,"[1921, 1127, 926, 1367, 695]"
20.0,100.88,6,8,"[1921, 843, 926, 1661, 912, 1106, 163, 889, 1027, 1331, 530, 982, 1147, 457, 1122, 1175, 611, 1163, 622, 1146]"
23.0,114.28,6,8,"[1921, 843, 132, 926, 1134, 1367, 1013, 638, 415, 1389, 1147, 1123, 899, 724, 1623, 1163, 1034, 611, 841, 622, 1139, 1146, 982]"
14.0,61.3,7,8,"[1921, 1155, 119, 858, 1754, 1261, 1997, 1666, 855, 1027, 622, 1900, 1146, 894]"
17.0,78.65,7,8,"[1921, 1155, 119, 858, 1754, 1261, 1997, 1666, 1027, 1147, 622, 1034, 611, 841, 1654, 1146, 982]"
17.0,87.87,6,8,"[1921, 843, 132, 926, 1134, 1367, 1013, 638, 415, 1389, 1147, 1123, 249, 724, 1623, 1163, 622]"
42.0,155.28,7,8,"[1921, 843, 926, 1367, 1661, 1454, 1134, 2009, 1027, 1842, 994, 1147, 397, 1013, 982, 847, 622, 662, 611, 351, 415, 1139, 664, 744, 158, 1146, 460, 913, 209, 1034, 1163, 855, 841, 400, 894, 445, 1123, 959, 1218, 1484, 724, 206]"
38.0,148.88,6,8,"[1921, 843, 132, 926, 638, 1134, 1367, 1389, 744, 1013, 774, 1129, 1672, 457, 1163, 524, 1123, 915, 724, 400, 934, 1146, 1139, 445, 959, 622, 107, 1142, 894, 1484, 1218, 460, 1040, 1027, 636, 1900, 1, 611]"
3.0,17.12,3,5,"[983, 843, 1361]"
23.0,107.04,7,8,"[1921, 1993, 132, 926, 1367, 1371, 471, 1389, 457, 744, 611, 622, 1013, 774, 1129, 1672, 1034, 1163, 724, 524, 1123, 400, 934]"
36.0,144.89,7,8,"[1921, 1993, 132, 926, 1367, 638, 1134, 1027, 1389, 774, 1672, 622, 1013, 744, 457, 611, 1034, 1163, 1129, 524, 400, 934, 445, 1146, 959, 1218, 1139, 841, 485, 1123, 894, 1142, 1484, 855, 107, 1900]"
32.0,138.36,6,8,"[1921, 843, 132, 926, 638, 1134, 1367, 1389, 415, 714, 899, 1623, 1147, 209, 855, 400, 894, 445, 724, 1123, 959, 1218, 1484, 1163, 1146, 206, 622, 982, 1139, 1034, 611, 841]"
35.0,141.72,7,8,"[1921, 843, 1134, 132, 638, 926, 1367, 457, 1389, 1129, 1013, 744, 959, 107, 894, 648, 1027, 2014, 1672, 1034, 1163, 724, 1146, 1123, 524, 622, 1139, 400, 934, 445, 1142, 841, 1484, 611, 1900]"
18.0,81.85,7,8,"[1921, 843, 926, 1661, 1367, 1454, 2009, 1027, 1134, 1623, 716, 1123, 1147, 22, 622, 724, 1013, 415]"
42.0,159.29,6,8,"[1921, 843, 81, 926, 1701, 1389, 1367, 1027, 1134, 1842, 661, 1147, 622, 397, 847, 1013, 415, 982, 662, 611, 445, 841, 351, 664, 744, 1146, 158, 400, 959, 894, 460, 1139, 1484, 1034, 913, 209, 855, 1123, 1218, 724, 206, 1163]"
8.0,46.69,5,7,"[1921, 843, 912, 1636, 926, 1367, 809, 457]"
18.0,96.51,4,9,"[1921, 843, 926, 1367, 1389, 1027, 638, 622, 1134, 1463, 611, 1091, 232, 847, 457, 1147, 782, 982]"
9.0,57.9,4,8,"[1921, 1155, 964, 926, 1367, 1167, 457, 695, 944]"
21.0,102.58,7,9,"[1921, 843, 964, 1661, 1367, 1027, 2012, 163, 1147, 982, 1163, 622, 889, 1146, 1331, 530, 1122, 611, 1136, 457, 855]"
9.0,33.88,7,7,"[2008, 1707, 926, 1367, 170, 1997, 1798, 1091, 611]"
36.0,148.38,6,8,"[1921, 843, 926, 1367, 1463, 744, 638, 1389, 1013, 774, 622, 1134, 1027, 1129, 1672, 1034, 1163, 724, 611, 524, 1123, 457, 400, 934, 1146, 1139, 445, 959, 107, 1831, 894, 1484, 1900, 1218, 841, 855]"
19.0,96.35,7,8,"[1921, 1993, 132, 201, 638, 1367, 1134, 1389, 774, 1027, 1672, 1013, 744, 622, 1034, 1163, 1129, 457, 611]"
28.0,125.92,6,8,"[1921, 843, 81, 926, 1701, 1091, 945, 1134, 1367, 1161, 445, 982, 209, 397, 622, 1123, 1163, 1389, 648, 724, 1034, 457, 1146, 1932, 611, 1139, 774, 841]"
15.0,82.28,5,8,"[1921, 843, 1013, 910, 1134, 638, 1367, 132, 1078, 1123, 1147, 611, 899, 841, 1389]"
11.0,71.32,4,8,"[1921, 376, 964, 926, 1367, 1167, 457, 912, 611, 1091, 622]"
27.0,120.4,7,9,"[1921, 843, 1134, 132, 638, 926, 1367, 457, 1389, 1129, 1013, 744, 959, 674, 894, 648, 1027, 2014, 1672, 1034, 1163, 724, 1146, 1123, 524, 622, 1139]"
13.0,80.96,5,8,"[1921, 1168, 132, 926, 638, 1134, 1367, 1389, 847, 611, 1027, 457, 622]"
22.0,114.69,5,8,"[1921, 843, 964, 926, 1367, 1701, 1091, 945, 1134, 1123, 982, 622, 1283, 1389, 457, 1161, 724, 774, 841, 445, 1139, 1146]"
9.0,47.76,6,7,"[1921, 1993, 964, 52, 1367, 1167, 695, 457, 944]"
38.0,145.46,7,8,"[1921, 1993, 132, 926, 1123, 1367, 638, 915, 1134, 1013, 724, 107, 744, 1389, 622, 1672, 1027, 1908, 457, 460, 1129, 1040, 636, 1, 1163, 774, 1146, 934, 1218, 611, 894, 524, 400, 445, 1139, 959, 1900, 1484]"
34.0,140.14,6,8,"[1921, 843, 926, 1463, 1367, 1855, 638, 1389, 1013, 774, 622, 1027, 1129, 1134, 1672, 1034, 1163, 724, 611, 524, 1123, 457, 400, 934, 1146, 1139, 445, 959, 107, 1831, 894, 1484, 1900, 1218]"
13.0,77.0,6,8,"[1921, 843, 81, 926, 1701, 945, 1134, 1091, 1367, 982, 355, 457, 622]"
39.0,152.87,5,8,"[1921, 843, 457, 926, 132, 1367, 1147, 1134, 994, 1842, 638, 1013, 1389, 982, 158, 866, 913, 744, 1213, 397, 1146, 724, 1123, 1139, 662, 894, 774, 622, 351, 847, 400, 648, 664, 1034, 1163, 1377, 445, 959, 611]"
9.0,50.04,5,7,"[1921, 843, 1367, 1108, 52, 1167, 695, 457, 944]"
