n_nodes,influence,communities,time,nodes
1.0,130.9,1,14,[2507]
1.0,33.95,2,8,[1547]
29.0,360.13,7,14,"[1285, 3033, 2206, 1929, 1813, 353, 1302, 3593, 2084, 2417, 1684, 1721, 40, 1113, 1768, 2102, 2042, 107, 2278, 1004, 925, 2543, 2719, 930, 492, 395, 2509, 697, 2111]"
36.0,375.5,7,14,"[1285, 3033, 2206, 1929, 1813, 353, 1302, 3593, 1039, 1113, 2102, 2417, 1684, 2084, 107, 2278, 40, 492, 2042, 1768, 3687, 925, 2719, 2793, 1955, 2148, 1004, 2694, 2543, 3355, 2363, 930, 697, 395, 2111, 2509]"
48.0,395.55,7,14,"[2643, 2307, 1420, 107, 2180, 545, 2417, 3129, 1813, 1376, 1684, 40, 1718, 1655, 1768, 1004, 2543, 3035, 2396, 1735, 2446, 2901, 2833, 2333, 3188, 3320, 1085, 2470, 2148, 2348, 0, 2694, 2642, 2381, 2009, 2864, 3087, 2254, 697, 2608, 2111, 2509, 2102, 930, 2278, 395, 2719, 1912]"
7.0,258.51,5,18,"[2643, 2307, 1420, 107, 2862, 785, 2229]"
44.0,392.25,7,14,"[1285, 3033, 2206, 1929, 1813, 353, 1302, 3593, 1039, 1113, 2102, 2417, 1684, 2084, 2278, 492, 107, 925, 2042, 1955, 40, 2363, 2719, 1255, 1768, 1146, 4021, 3687, 2793, 3397, 3355, 1004, 2154, 2543, 2165, 2111, 697, 2698, 2994, 2148, 930, 2694, 395, 2509]"
70.0,437.24,7,12,"[1285, 3033, 1644, 447, 1997, 2206, 2417, 2084, 545, 2042, 2543, 3403, 1768, 3417, 1004, 925, 40, 3355, 1117, 497, 1735, 3342, 378, 2319, 1721, 2064, 913, 3593, 2341, 1935, 353, 2343, 1684, 902, 3220, 1577, 170, 2169, 1912, 1557, 1849, 2712, 1605, 1331, 1435, 1663, 2201, 1570, 1565, 2880, 705, 2717, 2289, 1192, 1947, 56, 2994, 2078, 2075, 1339, 1600, 3397, 493, 1361, 1879, 1255, 2154, 2029, 2698, 2338]"
58.0,419.62,7,12,"[1285, 3033, 1420, 107, 1347, 3912, 2464, 1768, 2417, 356, 1735, 2233, 1004, 3417, 2543, 2524, 2088, 1416, 353, 3593, 1684, 2132, 497, 2343, 3342, 378, 2319, 1721, 902, 2064, 913, 1302, 1935, 3220, 1577, 1947, 170, 2169, 1912, 1557, 3280, 2712, 1605, 2073, 1946, 2072, 1691, 1943, 2026, 1305, 3232, 3117, 1017, 686, 2785, 2607, 559, 1841]"
44.0,394.07,6,14,"[2460, 2765, 348, 1813, 353, 1302, 3593, 1039, 1113, 2102, 2417, 374, 1684, 2042, 2084, 1285, 2278, 492, 107, 925, 1955, 2363, 2719, 1255, 1768, 1146, 4021, 3687, 2793, 3397, 3355, 1004, 2154, 2543, 2165, 2111, 697, 2698, 2994, 2148, 930, 2694, 395, 2509]"
66.0,436.12,7,12,"[2460, 2765, 348, 1813, 353, 1302, 3593, 1039, 1113, 2102, 2417, 374, 1684, 2042, 2066, 492, 107, 1955, 2084, 925, 1285, 2363, 2719, 1255, 1146, 4021, 3687, 913, 2341, 1768, 1935, 3355, 3220, 1577, 170, 2169, 1004, 1912, 2543, 1557, 1849, 2712, 2994, 1605, 705, 2698, 1192, 1331, 1435, 1663, 2201, 1570, 1565, 2880, 2717, 2289, 1947, 56, 2078, 2075, 2625, 1199, 2072, 315, 2508, 2338]"
14.0,315.62,4,17,"[2643, 1155, 2206, 627, 1813, 2456, 107, 2084, 2417, 1768, 3403, 1004, 2543, 1684]"
17.0,318.5,5,16,"[2507, 1684, 2084, 1813, 2915, 2417, 1735, 40, 1004, 2543, 2694, 3302, 2657, 1376, 932, 2394, 107]"
