n_nodes,influence,communities,time,nodes
1.0,1881.67,5,21,[1475]
2.0,1936.64,6,21,"[1899, 686]"
3.0,2068.85,5,19,"[2864, 2180, 3886]"
75.0,2307.59,7,13,"[3123, 2180, 3142, 318, 3881, 3611, 668, 739, 3989, 406, 1176, 3671, 678, 1788, 239, 2672, 240, 208, 1565, 2859, 3783, 3632, 3433, 184, 3506, 4022, 81, 1081, 2203, 3554, 446, 319, 2629, 601, 1114, 734, 3919, 94, 2994, 2152, 745, 2286, 848, 790, 3685, 3813, 1859, 2125, 974, 1638, 719, 335, 1362, 1618, 2771, 3413, 1366, 857, 2777, 3420, 3164, 1758, 3808, 3220, 3708, 998, 3560, 1643, 3313, 249, 1274, 2555, 3964, 2173, 895]"
2.0,2010.95,5,21,"[2683, 2446]"
43.0,2274.9,7,14,"[3680, 2180, 780, 3577, 1352, 552, 3598, 1648, 62, 1604, 686, 1543, 3475, 3274, 1212, 3928, 4033, 3522, 3912, 3529, 224, 1359, 3554, 1765, 2152, 1241, 643, 1992, 3708, 2019, 3429, 998, 3420, 1638, 3164, 1758, 3934, 3560, 2257, 2155, 240, 3207, 249]"
23.0,2255.92,7,15,"[2864, 2180, 3142, 318, 668, 2383, 150, 96, 103, 686, 3611, 3171, 2543, 3577, 3559, 3506, 304, 922, 1333, 1274, 3964, 895, 2173]"
65.0,2294.76,7,13,"[526, 2180, 3142, 318, 668, 2383, 96, 150, 103, 2882, 686, 922, 3611, 2190, 3559, 3577, 2168, 734, 3506, 2173, 1887, 895, 3964, 304, 1333, 1274, 857, 848, 3429, 3420, 438, 1144, 437, 3274, 1840, 3685, 3708, 2555, 2152, 3554, 1765, 3313, 249, 1859, 745, 3808, 3297, 998, 1638, 3560, 235, 1643, 239, 2672, 240, 2019, 974, 1184, 3644, 3834, 764, 3042, 2535, 2031, 505]"
16.0,2238.99,7,15,"[3680, 2180, 3142, 2878, 3881, 3611, 668, 739, 1349, 686, 2111, 3708, 1873, 2144, 3771, 239]"
41.0,2271.74,7,14,"[2683, 2180, 3142, 318, 96, 2383, 668, 2882, 150, 2190, 734, 2173, 2168, 103, 3611, 467, 3577, 895, 686, 3964, 922, 1333, 3506, 2425, 304, 3559, 848, 3429, 3420, 438, 1274, 1144, 437, 3274, 1840, 3685, 3708, 2555, 2152, 3554, 1765]"
90.0,2320.93,7,13,"[3680, 1359, 3142, 1097, 3856, 150, 3611, 277, 130, 1543, 2111, 3779, 3588, 2557, 4033, 3522, 686, 3912, 3868, 2762, 1765, 239, 3183, 756, 1144, 3559, 2920, 3420, 3554, 3164, 3934, 2286, 240, 3313, 249, 2555, 1758, 2152, 745, 3808, 3708, 2019, 3429, 998, 1638, 1266, 3560, 235, 1643, 2672, 783, 787, 1274, 2327, 1168, 2857, 3883, 3878, 1329, 2866, 823, 1854, 3905, 326, 1884, 3933, 2398, 3433, 3444, 2425, 3965, 3454, 1410, 3414, 428, 942, 2314, 1985, 453, 972, 3534, 3548, 3549, 3039, 2532, 3553, 3042, 3909, 2031, 505]"
31.0,2260.58,7,15,"[1939, 2180, 3142, 318, 2834, 686, 3881, 2543, 3611, 103, 922, 879, 1642, 3577, 3184, 1266, 2624, 3506, 3559, 311, 1274, 2173, 304, 1333, 1397, 2168, 3834, 3726, 249, 3964, 2555]"
6.0,2174.76,6,17,"[1574, 686, 2753, 3369, 1925, 3611]"
7.0,2127.24,7,18,"[1684, 2180, 785, 318, 3881, 3611, 2675]"
12.0,2225.32,7,16,"[3680, 2206, 780, 1352, 3577, 3894, 2277, 2960, 2336, 918, 686, 224]"
13.0,2232.5,7,16,"[2864, 801, 1399, 3387, 150, 3611, 277, 130, 686, 1543, 2111, 3779, 3588]"
