n_nodes,influence,communities,time,nodes
11.0,17.1,7,2,"[2577, 3277, 459, 872, 3560, 1654, 2071, 51, 1999, 3740, 2650]"
7.0,9.45,6,2,"[3183, 140, 2111, 518, 1334, 2056, 2640]"
2.0,3.92,2,2,"[2577, 755]"
16.0,21.58,8,2,"[3183, 140, 2111, 518, 1334, 2056, 2640, 1981, 2521, 894, 1163, 462, 237, 3360, 1746, 556]"
9.0,12.31,6,2,"[2577, 1617, 1965, 2338, 1334, 3136, 556, 2056, 2640]"
11.0,18.38,6,2,"[2577, 3277, 3136, 237, 1698, 462, 3782, 1193, 1235, 925, 572]"
8.0,12.14,6,2,"[2577, 3277, 3136, 556, 2045, 3699, 86, 1999]"
42.0,61.77,8,3,"[2577, 2114, 3064, 3277, 17, 3360, 3136, 556, 3068, 2536, 830, 795, 80, 1132, 2385, 2650, 919, 1117, 1589, 3639, 3405, 2034, 3458, 3631, 3389, 1235, 1385, 642, 2207, 3165, 3784, 572, 2338, 1758, 2851, 2069, 2742, 2997, 3473, 1308, 2696, 1617]"
33.0,48.93,8,3,"[2577, 3277, 3136, 556, 2045, 3699, 1068, 3229, 572, 1881, 549, 1622, 157, 2290, 2419, 2536, 830, 795, 1132, 919, 1117, 1589, 3639, 3405, 2521, 55, 3782, 237, 1193, 1981, 462, 2650, 1235]"
5.0,8.38,5,2,"[2577, 1367, 556, 3277, 1865]"
4.0,7.86,4,2,"[101, 572, 3375, 2419]"
1.0,1.48,1,1,[2103]
38.0,56.09,8,3,"[2577, 2187, 830, 3064, 2114, 3068, 3277, 795, 17, 1132, 2385, 919, 1117, 556, 3165, 1589, 3639, 3136, 2650, 3405, 1758, 80, 2034, 3458, 3389, 1385, 2069, 1073, 642, 3360, 2563, 3631, 1235, 2851, 572, 2696, 3784, 2338]"
15.0,19.26,8,2,"[2440, 1960, 1367, 2060, 365, 59, 17, 2861, 2012, 1657, 57, 3275, 7, 2896, 1235]"
9.0,11.5,7,2,"[2577, 1960, 1367, 2060, 73, 59, 2833, 726, 3279]"
44.0,63.62,8,3,"[2577, 3136, 3277, 556, 2045, 1177, 389, 1308, 2616, 80, 3068, 2385, 2696, 3631, 2650, 3225, 321, 3183, 2028, 894, 1235, 1163, 1193, 1981, 2521, 2776, 3782, 2038, 6, 2479, 2338, 202, 3223, 1739, 572, 185, 1511, 278, 2529, 1466, 1229, 996, 1605, 3560]"
20.0,32.34,7,3,"[2577, 2045, 2054, 3277, 202, 1308, 3136, 556, 2616, 3068, 302, 80, 2419, 2536, 919, 2650, 830, 572, 3631, 1981]"
32.0,47.67,8,3,"[2577, 2054, 3136, 3277, 2045, 389, 556, 1308, 2616, 80, 3068, 2385, 2696, 3631, 2650, 3225, 321, 3183, 2028, 894, 1235, 1163, 2776, 1981, 2521, 1193, 1693, 1005, 6, 2479, 237, 572]"
3.0,5.99,3,2,"[2577, 1723, 572]"
