n_nodes,influence,communities,time,nodes
4.0,7.27,4,2,"[3845, 6617, 5578, 5343]"
22.0,39.97,6,3,"[1937, 7595, 5578, 1958, 1001, 473, 5127, 380, 2725, 6931, 5851, 6514, 763, 5968, 6323, 3450, 5725, 335, 7001, 3530, 110, 6446]"
22.0,37.89,7,3,"[1721, 7595, 5956, 5578, 3747, 473, 1958, 380, 1001, 5851, 3530, 3637, 5127, 763, 2725, 6931, 110, 6514, 5968, 6323, 3450, 5725]"
13.0,23.24,7,3,"[4994, 2854, 5103, 6715, 2510, 3807, 7287, 5872, 2798, 3450, 4274, 4146, 3530]"
27.0,46.98,6,3,"[1464, 7595, 5578, 1958, 1001, 473, 5127, 380, 2725, 6931, 5851, 6514, 763, 5968, 6323, 3450, 5725, 335, 7001, 3530, 1730, 6446, 5414, 7547, 2670, 5857, 4785]"
21.0,37.13,7,3,"[1937, 7595, 5578, 1958, 1001, 473, 5127, 380, 2725, 6931, 5851, 516, 763, 5968, 6323, 3450, 5725, 335, 3530, 3845, 6446]"
7.0,9.04,7,2,"[1721, 2811, 5103, 6666, 854, 7334, 2145]"
15.0,24.5,7,2,"[5968, 6617, 7053, 2854, 4624, 110, 7040, 3855, 6931, 2899, 7334, 2730, 4211, 4785, 3450]"
7.0,10.74,6,2,"[1937, 7595, 335, 6666, 6432, 7334, 2145]"
4.0,7.62,3,2,"[1937, 5123, 5578, 3845]"
10.0,18.06,6,2,"[1150, 2854, 5578, 5769, 7490, 6115, 5872, 1995, 3855, 4785]"
12.0,21.27,7,3,"[3845, 6617, 2510, 5012, 2798, 3360, 5872, 6621, 6941, 4274, 3530, 3450]"
26.0,46.81,7,3,"[2876, 2854, 5578, 5769, 7490, 6115, 5872, 2186, 3855, 4785, 6208, 7083, 2083, 6666, 3469, 3081, 3450, 4353, 5274, 1262, 290, 1381, 4880, 524, 3079, 3530]"
2.0,3.81,2,1,"[1937, 3317]"
5.0,9.87,3,2,"[1937, 7595, 7081, 3530, 1001]"
12.0,20.15,8,3,"[1937, 3530, 380, 3845, 5851, 5978, 969, 7083, 3469, 3450, 2091, 5578]"
4.0,7.71,2,2,"[1937, 38, 5578, 3845]"
23.0,39.9,7,3,"[5821, 6617, 5343, 5578, 3369, 5851, 6446, 5414, 5442, 1001, 2670, 5857, 6330, 1794, 7534, 664, 6065, 3530, 524, 3450, 4785, 5274, 1381]"
