n_nodes,influence,communities,time,nodes
1.0,20.66,1,4,[630]
2.0,111.24,2,9,"[809, 572]"
15.0,490.39,6,13,"[1515, 1518, 3028, 1308, 3277, 145, 3426, 3622, 996, 499, 2650, 1045, 1157, 2616, 572]"
34.0,710.21,8,13,"[2054, 3068, 2231, 1471, 2650, 3685, 2444, 3622, 3277, 541, 2534, 92, 2616, 1881, 3471, 572, 1901, 1251, 1671, 145, 3499, 371, 812, 2864, 1717, 1021, 1304, 2419, 1464, 1088, 2114, 2838, 2372, 1440]"
22.0,607.78,8,14,"[2054, 1518, 1332, 3392, 3277, 3028, 2650, 3622, 869, 586, 3039, 2577, 3471, 2000, 1834, 572, 145, 2255, 1671, 2534, 1088, 2419]"
19.0,589.76,7,13,"[2054, 1518, 923, 3277, 2616, 3028, 2650, 1251, 3622, 996, 3685, 3471, 1045, 58, 330, 572, 2920, 2864, 2419]"
8.0,352.34,7,12,"[1515, 1518, 1858, 2444, 92, 1045, 2650, 572]"
21.0,604.56,8,13,"[2054, 1518, 1308, 3622, 3277, 3028, 2650, 3791, 996, 1088, 869, 2534, 3471, 1834, 586, 572, 145, 2577, 2255, 2000, 2419]"
38.0,774.49,8,13,"[2054, 3068, 2231, 1559, 2650, 2444, 3622, 541, 92, 3685, 2255, 3277, 2822, 1881, 1619, 572, 2616, 2534, 1112, 1901, 979, 2440, 3471, 1021, 1464, 3198, 3561, 145, 371, 1232, 795, 2419, 615, 1671, 1251, 996, 2864, 1088]"
28.0,665.3,8,13,"[2054, 3068, 2231, 1471, 2650, 2444, 541, 3685, 2534, 3277, 3622, 92, 1881, 2616, 1901, 572, 1671, 3471, 145, 3499, 371, 1499, 1717, 1392, 1304, 1251, 2864, 2419]"
18.0,530.76,8,13,"[2054, 1518, 1177, 1471, 2650, 3685, 572, 3277, 2444, 541, 2534, 3622, 92, 2566, 1881, 3471, 2864, 2419]"
14.0,488.43,6,14,"[1515, 1518, 1808, 382, 1366, 145, 499, 2864, 572, 3277, 3426, 3622, 2650, 2419]"
10.0,359.16,8,14,"[2054, 1518, 1772, 1471, 2650, 3685, 572, 3277, 2444, 92]"
3.0,205.62,4,11,"[3561, 3277, 572]"
27.0,658.56,8,13,"[2054, 3068, 1069, 1471, 2650, 2444, 541, 2534, 92, 3685, 3277, 1881, 2616, 3622, 1671, 572, 1901, 3471, 145, 3499, 371, 2114, 2372, 3198, 2581, 1251, 2419]"
22.0,640.57,7,13,"[2054, 3068, 2632, 499, 3277, 2650, 3560, 1251, 3028, 545, 3344, 2440, 1834, 2255, 1088, 996, 572, 2534, 1671, 1085, 145, 2419]"
19.0,601.17,6,13,"[302, 1518, 2632, 2616, 3028, 3277, 1251, 3622, 2650, 3471, 572, 996, 3685, 1045, 58, 330, 2920, 2864, 2419]"
10.0,375.58,7,13,"[2054, 1518, 963, 2229, 398, 3277, 2650, 572, 58, 330]"
7.0,291.6,6,12,"[3712, 3277, 1663, 2829, 3183, 2072, 572]"
26.0,679.06,7,13,"[2054, 3068, 2187, 3028, 3560, 2632, 1251, 2808, 2650, 3277, 274, 2419, 572, 111, 2114, 3344, 428, 545, 2255, 996, 2534, 1671, 3471, 1834, 2440, 145]"
4.0,221.43,5,12,"[2054, 1181, 2650, 572]"
31.0,722.6,7,13,"[1515, 1518, 923, 2616, 145, 996, 1045, 2034, 44, 2650, 572, 2577, 3622, 2226, 3277, 2822, 1619, 1112, 2565, 295, 2255, 3198, 1834, 812, 1464, 2114, 2372, 1088, 3471, 2864, 2419]"
16.0,523.36,7,12,"[2054, 1243, 3277, 914, 3471, 58, 2650, 330, 499, 2920, 1157, 572, 2864, 3183, 2419, 1045]"
37.0,768.31,8,13,"[2054, 3068, 1069, 1471, 2255, 2650, 2822, 2444, 541, 92, 2534, 3685, 1619, 1112, 979, 1881, 1901, 3277, 2440, 1021, 2616, 371, 1464, 3198, 3561, 572, 1232, 795, 1671, 3197, 2419, 3622, 1251, 2864, 996, 3471, 145]"
