n_nodes,influence,communities,nodes
0.8247422680412371,19.87,7,"[280, 175, 97, 260]"
0.6185567010309279,18.74,7,"[416, 260, 97]"
1.0309278350515465,20.98,8,"[282, 175, 97, 260, 416]"
0.41237113402061887,15.24,6,"[97, 427]"
1.8556701030927836,24.98,9,"[359, 264, 469, 97, 60, 260, 356, 162, 416]"
2.268041237113402,25.38,12,"[323, 291, 469, 97, 60, 260, 27, 457, 416, 162, 356]"
0.8247422680412371,19.27,8,"[347, 175, 97, 260]"
1.0309278350515465,20.98,8,"[282, 175, 97, 416, 260]"
1.2371134020618557,22.46,9,"[280, 356, 97, 260, 416, 162]"
1.0309278350515465,19.9,9,"[489, 97, 260, 175, 356]"
1.6494845360824741,24.58,9,"[76, 175, 60, 356, 469, 260, 97, 416]"
1.4432989690721651,23.38,9,"[474, 175, 97, 60, 260, 416, 356]"
0.8247422680412371,19.87,7,"[280, 175, 260, 97]"
1.6494845360824741,23.74,11,"[31, 356, 448, 416, 60, 97, 162, 260]"
2.061855670103093,23.36,13,"[458, 97, 435, 15, 356, 260, 416, 487, 433, 162]"
0.20618556701030943,11.5,4,[97]
1.8556701030927836,24.89,10,"[416, 260, 305, 175, 356, 60, 469, 97, 162]"
1.8556701030927836,24.3,11,"[416, 260, 175, 443, 97, 15, 60, 162, 356]"
1.2371134020618557,20.25,10,"[16, 175, 97, 450, 260, 356]"
1.6494845360824741,24.1,10,"[473, 260, 175, 162, 448, 60, 97, 356]"
2.061855670103093,25.72,10,"[282, 175, 60, 356, 474, 260, 15, 162, 97, 416]"
2.268041237113402,25.84,11,"[458, 97, 469, 15, 356, 260, 60, 123, 302, 162, 416]"
1.8556701030927836,23.44,12,"[416, 260, 302, 323, 356, 432, 455, 97, 162]"
2.268041237113402,23.08,14,"[37, 435, 162, 323, 432, 260, 455, 394, 97, 416, 356]"
2.268041237113402,26.34,10,"[280, 162, 469, 260, 15, 416, 97, 356, 60, 403, 158]"
1.4432989690721651,23.11,10,"[451, 60, 356, 416, 260, 97, 162]"
2.061855670103093,24.91,12,"[458, 97, 175, 60, 356, 260, 416, 474, 15, 440]"
2.061855670103093,25.72,9,"[280, 162, 175, 260, 79, 97, 212, 469, 416, 356]"
1.8556701030927836,20.76,13,"[30, 435, 432, 260, 97, 455, 416, 323, 356]"
2.061855670103093,25.36,11,"[458, 97, 82, 60, 474, 356, 260, 15, 416, 162]"
1.0309278350515465,20.98,8,"[416, 260, 282, 175, 97]"
1.0309278350515465,21.06,7,"[281, 162, 416, 260, 97]"
2.268041237113402,24.77,13,"[97, 448, 435, 15, 479, 433, 356, 260, 275, 158, 162]"
1.6494845360824741,20.98,12,"[97, 435, 448, 15, 324, 162, 356, 260]"
1.4432989690721651,20.72,11,"[97, 431, 435, 443, 162, 356, 260]"
