n_nodes,influence,time,nodes
2.0,167.3,4,"[174, 595]"
6.0,262.44,5,"[426, 203, 663, 583, 495, 257]"
4.0,209.34,6,"[591, 233, 719, 435]"
8.0,243.38,7,"[460, 517, 5, 776, 46, 178, 495, 149]"
6.0,227.52,7,"[424, 21, 802, 730, 659, 120]"
12.0,315.22,6,"[665, 653, 663, 583, 211, 537, 634, 220, 702, 406, 475, 477]"
19.0,341.22,7,"[607, 684, 348, 30, 671, 664, 670, 231, 600, 537, 634, 15, 408, 249, 508, 435, 553, 731, 415]"
14.0,321.38,6,"[188, 665, 340, 650, 659, 17, 550, 474, 607, 33, 193, 498, 526, 369]"
6.0,246.38,6,"[607, 131, 561, 681, 774, 187]"
5.0,197.02,7,"[480, 472, 5, 703, 121]"
9.0,287.4,5,"[607, 132, 663, 583, 211, 257, 298, 536, 477]"
8.0,271.14,5,"[607, 682, 195, 587, 438, 187, 561, 222]"
4.0,240.58,4,"[607, 119, 561, 121]"
7.0,267.9,6,"[424, 21, 672, 650, 587, 187, 438]"
3.0,207.54,4,"[607, 491, 217]"
5.0,257.44,4,"[607, 186, 561, 583, 538]"
20.0,350.78,7,"[336, 665, 17, 340, 550, 650, 659, 474, 443, 450, 211, 139, 609, 219, 193, 526, 369, 296, 749, 577]"
14.0,320.98,7,"[196, 491, 427, 704, 758, 659, 17, 390, 474, 439, 193, 498, 526, 369]"
1.0,128.44,3,[216]
11.0,301.12,7,"[460, 186, 437, 776, 46, 463, 495, 276, 249, 406, 536]"
5.0,227.2,6,"[607, 119, 583, 713, 538]"
17.0,329.8,6,"[323, 684, 348, 30, 671, 664, 670, 231, 600, 537, 634, 630, 239, 249, 508, 435, 553]"
3.0,156.28,6,"[665, 755, 254]"
15.0,328.12,7,"[424, 21, 340, 121, 671, 664, 670, 231, 160, 415, 462, 597, 792, 196, 464]"
9.0,273.86,6,"[336, 21, 120, 340, 477, 550, 650, 659, 666]"
7.0,292.02,4,"[193, 578, 561, 569, 587, 187, 438]"
8.0,268.66,6,"[607, 669, 195, 587, 36, 187, 561, 222]"
10.0,294.22,6,"[607, 653, 663, 583, 211, 54, 634, 220, 553, 222]"
9.0,265.52,7,"[480, 472, 5, 703, 121, 550, 650, 93, 666]"
3.0,185.42,5,"[665, 345, 217]"
5.0,238.16,5,"[193, 578, 244, 569, 587]"
11.0,310.86,5,"[424, 665, 644, 340, 647, 519, 550, 499, 222, 443, 506]"
10.0,268.68,7,"[250, 771, 663, 583, 531, 54, 634, 220, 553, 222]"
